,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
53921,Grant Hendrik Tonne,Grant Hendrik Tonne,https://kleineanfragen.de/niedersachsen/17/8837-greift-generalstaatsanwalt-dr-luettig-in-verfahren-ein-wenn-personen-im-umfeld-der-rot-gruenen-landesregierung,"Greift Generalstaatsanwalt Dr. Lüttig in Verfahren ein, wenn Personen im Umfeld der rot-grünen Landesregierung Gegenstand von Ermittlungen sein könnten?",minor,2017-11-02T00:00:00Z,SPD,Niedersächsisches Justizministerium,Niedersächsisches Justizministerium
53922,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8841-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-10,Was hat die „sanfte Agrarwende“ für Erzeuger und Verbraucher gebracht? (Teil 10),minor,2017-11-01T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53923,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8836-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-3,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 3)",minor,2017-11-01T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53924,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8835-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-5,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 5)",minor,2017-11-01T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53925,Volker Meyer;Burkhard Jasper;Dr. Max Matthiesen;Petra Joumaah;Gudrun Pieper;Reinhold Hilbers;Annette Schwarz,Annette Schwarz;Gudrun Pieper;Petra Joumaah;Burkhard Jasper;Volker Meyer;Dr. Max Matthiesen;Reinhold Hilbers,https://kleineanfragen.de/niedersachsen/17/8834-wie-weit-ist-in-niedersachsen-die-umsetzung-des-bundesteilhabegesetzes,Wie weit ist in Niedersachsen die Umsetzung des Bundesteilhabegesetzes?,minor,2017-10-30T00:00:00Z,CDU,"Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung","Niedersächsisches Ministerium für Soziales, Gesundheit und Gleichstellung"
53926,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8833-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-15,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 15)",minor,2017-10-30T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53927,Dr. Stefan Birkner;Dr. Gero Hocker,Dr. Stefan Birkner;Dr. Gero Hocker,https://kleineanfragen.de/niedersachsen/17/8832-urteil-zur-kostenlosen-strandnutzung,Urteil zur kostenlosen Strandnutzung,minor,2017-10-30T00:00:00Z,FDP,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53928,Björn Thümler,Björn Thümler,https://kleineanfragen.de/niedersachsen/17/8831-duerfen-landtagsabgeordnete-bei-ministerbesuchen-nun-nicht-mehr-anwesend-sein,Dürfen Landtagsabgeordnete bei Ministerbesuchen nun nicht mehr anwesend sein?,minor,2017-10-27T00:00:00Z,CDU,Niedersächsisches Ministerium für Inneres und Sport,Niedersächsisches Ministerium für Inneres und Sport
53929,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8829-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-4,Was hat die „sanfte Agrarwende“ für Erzeuger und Verbraucher gebracht? (Teil 4),minor,2017-10-25T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
53930,Frank Oesterhelweg;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Helmut Dammann-Tamke;Christian Calderone;Hans-Heinrich Ehlen,Frank Oesterhelweg;Hans-Heinrich Ehlen;Otto Deppmeyer;Dr. Hans-Joachim Deneke-Jöhrens;Christian Calderone;Helmut Dammann-Tamke,https://kleineanfragen.de/niedersachsen/17/8828-neu-was-hat-die-sanfte-agrarwende-fuer-erzeuger-und-verbraucher-gebracht-teil-2,"Was hat die ""sanfte Agrarwende"" für Erzeuger und Verbraucher gebracht? (Teil 2)",minor,2017-10-25T00:00:00Z,CDU,"Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz","Niedersächsisches Ministerium für Ernährung, Landwirtschaft und Verbraucherschutz"
