,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
14406,Annette Karl,Annette Karl,https://kleineanfragen.de/bayern/17/18970-bruttoinlandsprodukt-in-bayern-2007-2017,Bruttoinlandsprodukt in Bayern 2007-2017,written,2018-06-13T00:00:00Z,SPD,"Staatsministerium für Wirtschaft und Medien, Energie und Technologie","Staatsministerium für Wirtschaft und Medien, Energie und Technologie"
14407,Dr. Hans Jürgen Fahn,Dr. Hans Jürgen Fahn,https://kleineanfragen.de/bayern/17/18969-zigarettenautomaten-in-bayern,Zigarettenautomaten in Bayern,written,2018-06-13T00:00:00Z,Freie Wähler,"Staatsministerium für Wirtschaft und Medien, Energie und Technologie","Staatsministerium für Wirtschaft und Medien, Energie und Technologie"
14408,Ruth Müller,Ruth Müller,https://kleineanfragen.de/bayern/17/18968-foerderung-der-direktvermarktung,Förderung der Direktvermarktung,written,2018-06-13T00:00:00Z,SPD,"Staatsministerium für Ernährung, Landwirtschaft und Forsten","Staatsministerium für Ernährung, Landwirtschaft und Forsten"
14409,Annette Karl,Annette Karl,https://kleineanfragen.de/bayern/17/18918-verfuegbares-einkommen-in-bayern-2007-bis-2017,Verfügbares Einkommen in Bayern 2007 bis 2017,written,2018-06-13T00:00:00Z,SPD,"Staatsministerium für Arbeit und Soziales, Familie und Integration","Staatsministerium für Arbeit und Soziales, Familie und Integration"
14410,Markus Rinderspacher,Markus Rinderspacher,https://kleineanfragen.de/bayern/17/21214-fahrradabstellanlagen-2018-in-bayern,Fahrradabstellanlagen 2018 in Bayern,written,2018-06-12T00:00:00Z,SPD,,
14411,Bernhard Roos,Bernhard Roos,https://kleineanfragen.de/bayern/17/18987-nachfragen-zum-zustand-von-staatsstrassen-und-bruecken-in-bayern,Nachfragen zum Zustand von Staatsstraßen und Brücken in Bayern,written,2018-06-12T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14412,Martina Fehlner;Stefan Schuster;Andreas Lotte;Arif Taşdelen;Horst Arnold,Arif Taşdelen;Andreas Lotte;Martina Fehlner;Horst Arnold;Stefan Schuster,https://kleineanfragen.de/bayern/17/21210-befristete-arbeitskraefte-und-leiharbeitskraefte-in-der-staatskanzlei,Befristete Arbeitskräfte und Leiharbeitskräfte in der Staatskanzlei,written,2018-06-08T00:00:00Z,SPD,,
14413,Kerstin Celina,Kerstin Celina,https://kleineanfragen.de/bayern/17/21209-buergerschaftliches-engagement-in-bayern,Bürgerschaftliches Engagement in Bayern,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,,
14414,Eva Gottstein,Eva Gottstein,https://kleineanfragen.de/bayern/17/21198-koordinierungszentren-fuer-buergerschaftliches-engagement-in-bayern,Koordinierungszentren für bürgerschaftliches Engagement in Bayern  ,written,2018-06-08T00:00:00Z,Freie Wähler,"Staatsministerium für Arbeit und Soziales, Familie und Integration","Staatsministerium für Arbeit und Soziales, Familie und Integration"
14415,Dr. Simone Strohmayr,Dr. Simone Strohmayr,https://kleineanfragen.de/bayern/17/21196-kuerzung-der-finanziellen-mittel-fuer-frauenhaeuser-durch-die-kommunen,Kürzung der finanziellen Mittel für Frauenhäuser durch die Kommunen,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium für Arbeit und Soziales, Familie und Integration","Staatsministerium für Arbeit und Soziales, Familie und Integration"
14416,Markus Rinderspacher,Markus Rinderspacher,https://kleineanfragen.de/bayern/17/21195-umsetzung-bzw-vollzug-des-bayerischen-integrationsgesetzes-i,Umsetzung bzw. Vollzug des Bayerischen Integrationsgesetzes I,written,2018-06-08T00:00:00Z,SPD,,
14417,Harry Scheuenstuhl,Harry Scheuenstuhl,https://kleineanfragen.de/bayern/17/21194-akustische-belastung-durch-waermepumpen,Akustische Belastung durch Wärmepumpen,written,2018-06-08T00:00:00Z,SPD,Staatsministerium für Umwelt und Verbraucherschutz,Staatsministerium für Umwelt und Verbraucherschutz
14418,Ludwig Hartmann,Ludwig Hartmann,https://kleineanfragen.de/bayern/17/21192-10-000-haeuser-programm-bilanz-2017,10.000-Häuser-Programm - Bilanz 2017,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,"Staatsministerium für Wirtschaft und Medien, Energie und Technologie","Staatsministerium für Wirtschaft und Medien, Energie und Technologie"
14419,Prof. Dr. Peter Paul Gantzer,Prof. Dr. Peter Paul Gantzer,https://kleineanfragen.de/bayern/17/21177-abschiebungen,Abschiebungen,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium des Innern, für Bau und Verkehr","Staatsministerium des Innern, für Bau und Verkehr"
14420,Kathrin Sonnenholzner,Kathrin Sonnenholzner,https://kleineanfragen.de/bayern/17/21160-anerkennung-auslaendischer-abschluesse-von-pflegefachhelfern,Anerkennung ausländischer Abschlüsse von Pflegefachhelfern,written,2018-06-08T00:00:00Z,SPD,,
14421,Katharina Schulze,Katharina Schulze,https://kleineanfragen.de/bayern/17/21151-erfassung-von-hasskriminalitaet-in-bayern-und-auswirkungen-auf-die-einordnung-des-oez-attentats,Erfassung von Hasskriminalität in Bayern und Auswirkungen auf die Einordnung des OEZ-Attentats,written,2018-06-08T00:00:00Z,Bündnis 90/Die Grünen,,
14422,Markus Rinderspacher,Markus Rinderspacher,https://kleineanfragen.de/bayern/17/21127-ueberschuldung-in-bayern-2017,Überschuldung in Bayern 2017,written,2018-06-08T00:00:00Z,SPD,"Staatsministerium für Arbeit und Soziales, Familie und Integration","Staatsministerium für Arbeit und Soziales, Familie und Integration"
