,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
18,https://kleineanfragen.de/schleswig-holstein/18/5434-rechtsextremismus-und-afd-in-schleswig-holstein,18,5434,Rechtsextremismus und AfD in Schleswig-Holstein,minor,2017-05-18,Piraten,Angelika Beer,Minister/in für Inneres und Bundesangelegenheiten
19,https://kleineanfragen.de/schleswig-holstein/18/5433-verklappung-von-baggergut-in-der-nordsee-bei-tonne-e3,18,5433,Verklappung von Baggergut in der Nordsee bei Tonne E3,minor,2017-05-17,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
20,https://kleineanfragen.de/schleswig-holstein/18/5432-verklappung-von-baggergut-in-der-nordsee-bewertungskriterien-der-schadstoffbelastung,18,5432,Verklappung von Baggergut in der Nordsee - Bewertungskriterien der Schadstoffbelastung,minor,2017-05-17,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
21,https://kleineanfragen.de/schleswig-holstein/18/5431-verklappung-von-baggergut-ueberschreitung-von-richtwerten,18,5431,Verklappung von Baggergut - Überschreitung von Richtwerten,minor,2017-05-17,Piraten,Patrick Breyer,"Minister/in für Energiewende, Landwirtschaft, Umwelt und ländliche Räume"
22,https://kleineanfragen.de/schleswig-holstein/18/5437-planung-der-a20-im-bereich-der-elbe-tunnelabschnitt,18,5437,Planung der A20 im Bereich der Elbe - Tunnelabschnitt,minor,2017-05-16,Piraten,Patrick Breyer,"Minister/in für Wirtschaft, Arbeit, Verkehr und Technologie"
23,https://kleineanfragen.de/schleswig-holstein/18/5436-planung-der-a20-im-bereich-der-elbe-krempermarsch,18,5436,Planung der A20 im Bereich der Elbe - Krempermarsch,minor,2017-05-16,Piraten,Patrick Breyer,"Minister/in für Wirtschaft, Arbeit, Verkehr und Technologie"
24,https://kleineanfragen.de/schleswig-holstein/18/5438-bauland-in-struvenhuetten-kreis-segeberg,18,5438,"Bauland in Struvenhütten, Kreis Segeberg",minor,2017-05-15,CDU,Volker Dornquast,Ministerpräsident/in
25,https://kleineanfragen.de/schleswig-holstein/18/5435-klimaschutz-in-schleswig-holstein,18,5435,Klimaschutz in Schleswig-Holstein,minor,2017-05-15,Piraten,Patrick Breyer,"Minister/in für Wirtschaft, Arbeit, Verkehr und Technologie"
26,https://kleineanfragen.de/schleswig-holstein/18/5430-regionalplanung-windenergie-in-schleswig-holstein,18,5430,Regionalplanung Windenergie in Schleswig-Holstein,minor,2017-05-15,Piraten,Patrick Breyer,Ministerpräsident/in
27,https://kleineanfragen.de/schleswig-holstein/18/5428-spanischunterricht-in-schleswig-holstein,18,5428,Spanischunterricht in Schleswig-Holstein,minor,2017-05-11,FDP,Anita Klahn,Minister/in für Schule und Berufsbildung
