,html_url,legislative_term,reference,title,interpellation_type,published_at,body,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
95084,https://kleineanfragen.de/sachsen-anhalt/7/2783-befristete-beschaeftigte-im-landesdienst,7,2783,Befristete Beschäftigte im Landesdienst,minor,2018-04-24,Sachsen-Anhalt,Die Linke,Swen Knöchel,Ministerium der Finanzen
95085,https://kleineanfragen.de/sachsen-anhalt/7/2782-arbeitsgemeinschaften-zur-gestaltung-der-laendlichen-entwicklung,7,2782,Arbeitsgemeinschaften zur Gestaltung der ländlichen Entwicklung,minor,2018-04-24,Sachsen-Anhalt,CDU,Guido Heuer,"Ministerium für Umwelt, Landwirtschaft und Energie"
95086,https://kleineanfragen.de/sachsen-anhalt/7/2781-ergebnisse-der-tierschutzkontrollen-im-salzlandkreis-in-2017,7,2781,Ergebnisse der Tierschutzkontrollen im Salzlandkreis in 2017,minor,2018-04-24,Sachsen-Anhalt,AfD,Willi Mittelstädt,"Ministerium für Umwelt, Landwirtschaft und Energie"
95087,https://kleineanfragen.de/sachsen-anhalt/7/2780-ergebnisse-der-tierschutzkontrollen-im-saalekreis-in-2017,7,2780,Ergebnisse der Tierschutzkontrollen im Saalekreis in 2017,minor,2018-04-24,Sachsen-Anhalt,AfD,Hannes Loth,"Ministerium für Umwelt, Landwirtschaft und Energie"
95088,https://kleineanfragen.de/sachsen-anhalt/7/2779-erweiterter-familienbegriff,7,2779,Erweiterter Familienbegriff,minor,2018-04-23,Sachsen-Anhalt,CDU,Frank Scheurell,Ministerium für Inneres und Sport
95089,https://kleineanfragen.de/sachsen-anhalt/7/2778-fachschulen-fuer-sozialpaedagogik,7,2778,Fachschulen für Sozialpädagogik,minor,2018-04-23,Sachsen-Anhalt,Die Linke,Monika Hohmann,Ministerium für Bildung
95090,https://kleineanfragen.de/sachsen-anhalt/7/2777-flaechenverbrauch-durch-windenergieanlagen-in-sachsen-anhalt,7,2777,Flächenverbrauch durch Windenergieanlagen in Sachsen-Anhalt,minor,2018-04-23,Sachsen-Anhalt,AfD,Andreas Gehlmann,"Ministerium für Umwelt, Landwirtschaft und Energie"
95091,https://kleineanfragen.de/sachsen-anhalt/7/2776-ergebnisse-der-tierschutzkontrollen-in-2017-fuer-dessau-rosslau,7,2776,Ergebnisse der Tierschutzkontrollen in 2017 für Dessau-Roßlau,minor,2018-04-23,Sachsen-Anhalt,AfD,Willi Mittelstädt,"Ministerium für Umwelt, Landwirtschaft und Energie"
95092,https://kleineanfragen.de/sachsen-anhalt/7/2764-personalsituation-arbeitsbedingungen-und-kontrolltaetigkeiten-der-landesaemterfuer-verbraucherschutz-sachsen-anhalt,7,2764,"Personalsituation, Arbeitsbedingungen und Kontrolltätigkeiten der Landesämterfür Verbraucherschutz Sachsen-Anhalt",minor,2018-04-19,Sachsen-Anhalt,Die Linke,Andreas Höppner,"Ministerium für Arbeit, Soziales und Integration"
95093,https://kleineanfragen.de/sachsen-anhalt/7/2763-repowering-im-landkreis-wittenberg,7,2763,Repowering im Landkreis Wittenberg,minor,2018-04-19,Sachsen-Anhalt,AfD,Matthias Lieschke;Daniel Roi,Ministerium für Landesentwicklung und Verkehr
95094,https://kleineanfragen.de/sachsen-anhalt/7/2762-polizeieinsatz-im-rahmen-des-fussballspiels-hallescher-fc-gegen-karlsruher-sc,7,2762,Polizeieinsatz im Rahmen des Fußballspiels Hallescher FC gegen Karlsruher SC,minor,2018-04-19,Sachsen-Anhalt,Die Linke,Eva von Angern,Ministerium für Inneres und Sport
95095,https://kleineanfragen.de/sachsen-anhalt/7/2761-umweltallianz,7,2761,Umweltallianz,minor,2018-04-19,Sachsen-Anhalt,CDU,Bernhard Daldrup,"Ministerium für Umwelt, Landwirtschaft und Energie"
95096,https://kleineanfragen.de/sachsen-anhalt/7/2760-sicherheit-beim-bahnverkehr-2,7,2760,Sicherheit beim Bahnverkehr 2,minor,2018-04-19,Sachsen-Anhalt,AfD,Hannes Loth,Ministerium für Inneres und Sport
95097,https://kleineanfragen.de/sachsen-anhalt/7/2759-kriminalitaetsschwerpunkte-in-sachsen-anhalt,7,2759,Kriminalitätsschwerpunkte in Sachsen-Anhalt,minor,2018-04-19,Sachsen-Anhalt,AfD,Hannes Loth,Ministerium für Inneres und Sport
95098,https://kleineanfragen.de/sachsen-anhalt/7/2758-managementmassnahmen-zum-artenschutz-im-windpark-domnitz,7,2758,"Managementmaßnahmen zum Artenschutz im ""Windpark Domnitz""",minor,2018-04-19,Sachsen-Anhalt,AfD,Willi Mittelstädt,"Ministerium für Umwelt, Landwirtschaft und Energie"
95099,https://kleineanfragen.de/sachsen-anhalt/7/2757-managementmassnahmen-zum-artenschutz-an-windkraftanlagen-in-nauendorf,7,2757,Managementmaßnahmen zum Artenschutz an Windkraftanlagen in Nauendorf,minor,2018-04-19,Sachsen-Anhalt,AfD,Willi Mittelstädt,"Ministerium für Umwelt, Landwirtschaft und Energie"
95100,https://kleineanfragen.de/sachsen-anhalt/7/2756-managementmassnahmen-zum-artenschutz-im-windpark-schnellroda,7,2756,Managementmaßnahmen zum Artenschutz im Windpark Schnellroda,minor,2018-04-19,Sachsen-Anhalt,AfD,Willi Mittelstädt,"Ministerium für Umwelt, Landwirtschaft und Energie"
95101,https://kleineanfragen.de/sachsen-anhalt/7/2755-managementmassnahmen-zum-artenschutz-an-vier-windkraftanlagen-in-steuden,7,2755,Managementmaßnahmen  zum  Artenschutz an  vier  Windkraftanlagen  in  Steuden,minor,2018-04-19,Sachsen-Anhalt,AfD,Willi Mittelstädt,"Ministerium für Umwelt, Landwirtschaft und Energie"
