,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
1093,https://kleineanfragen.de/sachsen-anhalt/6/2445-crystal-methamphetamin-in-sachsen-anhalt,6,2445,Crystal (Methamphetamin) in Sachsen-Anhalt,minor,2013-09-20,Die Grünen,Cornelia Lüddemann,Ministerium für Inneres und Sport
1094,https://kleineanfragen.de/sachsen-anhalt/6/2443-zukunft-des-bahnhaltepunktes-messdorf,6,2443,Zukunft des Bahnhaltepunktes Meßdorf,minor,2013-09-19,Die Grünen,Dorothea Frederking,Ministerium für Landesentwicklung und Verkehr
1095,https://kleineanfragen.de/sachsen-anhalt/6/2442-netzausbau-im-landkreis-harz-im-rahmen-der-einfuehrung-des-bos-digitalfunkes,6,2442,Netzausbau im Landkreis Harz im Rahmen der Einführung  des BOS - Digitalfunkes,minor,2013-09-19,SPD,Rüdiger Erben;Ronald Brachmann,Ministerium für Inneres und Sport
1096,https://kleineanfragen.de/sachsen-anhalt/6/2441-sexualisierte-gewalt-in-sachsen-anhalt-nachfrage-zu-der-antwort-auf-die-kleine-anfrage-drucksache-6-1846,6,2441,Sexualisierte Gewalt in Sachsen-Anhalt - Nachfrage zu der Antwort auf die Kleine Anfrage (Drucksache 6/1846),minor,2013-09-19,Die Grünen,Cornelia Lüddemann,Kultusministerium
1097,https://kleineanfragen.de/sachsen-anhalt/6/2440-dienstleistungen-aussenstehender,6,2440,Dienstleistungen Außenstehender,minor,2013-09-19,Die Linke,Evelyn Edler,Ministerium der Finanzen
1098,https://kleineanfragen.de/sachsen-anhalt/6/2439-bebauungsplaene-in-hochwassergefaehrdeten-gebieten,6,2439,Bebauungspläne in hochwassergefährdeten Gebieten,minor,2013-09-19,SPD,Ralf Bergmann,Ministerium für Landesentwicklung und Verkehr
1099,https://kleineanfragen.de/sachsen-anhalt/6/2412-ergaenzende-aufnahme-syrischer-fluechtlinge,6,2412,Ergänzende Aufnahme syrischer Flüchtlinge,minor,2013-09-11,Die Linke,Henriette Quade,Ministerium für Inneres und Sport
1100,https://kleineanfragen.de/sachsen-anhalt/6/2411-verbindungen-der-terrorcrew-muldental-nach-sachsen-anhalt,6,2411,Verbindungen der Terrorcrew Muldental nach Sachsen-Anhalt,minor,2013-09-11,Die Grünen,Sebastian Striegel,Ministerium für Inneres und Sport
1101,https://kleineanfragen.de/sachsen-anhalt/6/2403-stand-der-umsetzung-des-seniorenpolitischen-programms-der-landesregierung,6,2403,Stand der Umsetzung des Seniorenpolitischen Programms der Landesregierung,major,2013-09-06,Die Linke,,Landesregierung
1102,https://kleineanfragen.de/sachsen-anhalt/6/2402-internetseite-zu-den-kuerzungsplaenen-der-hochschullandschaft,6,2402,Internetseite zu den Kürzungsplänen der Hochschullandschaft,minor,2013-09-06,Die Linke,Evelyn Edler,Staatskanzlei
1103,https://kleineanfragen.de/sachsen-anhalt/6/2401-metalldiebstaehle-in-sachsen-anhalt-2012-2013,6,2401,Metalldiebstähle in Sachsen-Anhalt 2012/2013,minor,2013-09-06,SPD,Rüdiger Erben,Ministerium für Inneres und Sport
1104,https://kleineanfragen.de/sachsen-anhalt/6/2400-akquirierung-von-drittmitteln-im-universitaeren-bereich,6,2400,Akquirierung von Drittmitteln im universitären Bereich,minor,2013-09-06,Die Linke,Hans-Jörg Krause,Ministerium für Wissenschaft und Wirtschaft
1105,https://kleineanfragen.de/sachsen-anhalt/6/2399-verkehrssicherheitsaspekte-bei-anordnungen-der-strassenverkehrsbehoerden,6,2399,Verkehrssicherheitsaspekte bei Anordnungen der Straßenverkehrsbehörden,minor,2013-09-06,Die Grünen,Christoph Erdmenger,Ministerium für Landesentwicklung und Verkehr
1106,https://kleineanfragen.de/sachsen-anhalt/6/2398-fachkraeftesicherung-und-unternehmensnachfolge,6,2398,Fachkräftesicherung und Unternehmensnachfolge,minor,2013-09-06,Die Grünen,Franziska Latta,Ministerium für Wissenschaft und Wirtschaft
1107,https://kleineanfragen.de/sachsen-anhalt/6/2394-nutzung-von-sonderrechten-durch-dienstwagen-von-kommunalen-hauptverwaltungsbeamten-ii,6,2394,Nutzung von Sonderrechten durch Dienstwagen von kommunalen Hauptverwaltungsbeamten (II),minor,2013-09-05,SPD,Rüdiger Erben,Ministerium für Landesentwicklung und Verkehr
1108,https://kleineanfragen.de/sachsen-anhalt/6/2383-regelungen-in-geschaeftsfuehreranstellungsvertraegen-bei-landesgesellschaften-teil-ii,6,2383,Regelungen in Geschäftsführeranstellungsverträgen bei Landesgesellschaften Teil II,minor,2013-09-05,Die Linke,Wulf Gallert,Ministerium der Finanzen
1109,https://kleineanfragen.de/sachsen-anhalt/6/2174-investitionen-in-haefen-sachsen-anhalts,6,2174,Investitionen in Häfen Sachsen-Anhalts,minor,2013-09-04,Die Grünen,Christoph Erdmenger,Ministerium für Landesentwicklung und Verkehr
1110,https://kleineanfragen.de/sachsen-anhalt/6/2386-einfuehrung-des-bos-digitalfunks,6,2386,Einführung des BOS-Digitalfunks,minor,2013-09-03,SPD,Rüdiger Erben,Ministerium für Inneres und Sport
1111,https://kleineanfragen.de/sachsen-anhalt/6/2385-deutschland-hat-sich-zur-un-menschenrechtskonvention-bekannt,6,2385,Deutschland hat sich zur UN-Menschenrechtskonvention bekannt,minor,2013-09-03,CDU,Peter Rotter,"Ministerium für Arbeit, Soziales und Integration"
1112,https://kleineanfragen.de/sachsen-anhalt/6/2384-einsatz-von-software-zur-beobachtung-erfassung-und-speicherung-internetbasierter-kommunikation-durch-die-sachsen,6,2384,"Einsatz von Software zur Beobachtung, Erfassung und Speicherung internetbasierter Kommunikation durch die sachsen-anhaltische Verfassungsschutzbehörde",minor,2013-09-03,Die Grünen,Sebastian Striegel,Ministerium für Inneres und Sport
