,html_url,legislative_term,reference,title,interpellation_type,published_at,inquiring_parties_wikidata,inquiring_people_wikidata,answering_ministries_wikidata
3800,https://kleineanfragen.de/berlin/18/17625-organisierte-kriminalitaet-zur-cocktail-bar-novoline,18,17625,"Organisierte Kriminalität - Zur ""Cocktail Bar NovoLine""",written,2019-02-06,SPD,Tom Schreiber,Senatsverwaltung für Inneres und Sport
3801,https://kleineanfragen.de/berlin/18/17621-kommunale-wohnungsbestaende-von-ehemals-gehag-und-gsw,18,17621,Kommunale Wohnungsbestände von ehemals Gehag und GSW,written,2019-02-06,SPD,Franziska Becker,Senatsverwaltung für Stadtentwicklung und Wohnen
3802,https://kleineanfragen.de/berlin/18/17619-bauordnung-2019-iii-hier-barrierefreie-wohnungen,18,17619,"BauOrdnung 2019 (III), hier barrierefreie Wohnungen",written,2019-02-06,Die Grünen,Andreas Otto,Senatsverwaltung für Stadtentwicklung und Wohnen
3803,https://kleineanfragen.de/berlin/18/17617-wie-entwickelt-sich-die-anzahl-asbestbelasteter-wohnungen-in-den-bezirken,18,17617,Wie entwickelt sich die Anzahl asbestbelasteter Wohnungen in den Bezirken?,written,2019-02-06,Die Grünen,Andreas Otto,Senatsverwaltung für Stadtentwicklung und Wohnen
3804,https://kleineanfragen.de/berlin/18/17612-speicherung-personengebundener-hinweise-phw-bei-der-polizei-aktueller-stand-2019,18,17612,Speicherung personengebundener Hinweise (PHW) bei der Polizei: Aktueller Stand 2019,written,2019-02-06,Die Linke,Niklas Schrader,Senatsverwaltung für Inneres und Sport
3805,https://kleineanfragen.de/berlin/18/17607-grundsanierung-der-a111-in-reinickendorf,18,17607,Grundsanierung der A111 in Reinickendorf,written,2019-02-06,CDU,Tim Zeelen,"Senatsverwaltung für Umwelt, Verkehr und Klimaschutz"
3806,https://kleineanfragen.de/berlin/18/17599-installation-rauchwarnmelder-in-landeseigenen-mietwohnungen,18,17599,Installation Rauchwarnmelder in landeseigenen Mietwohnungen,written,2019-02-06,AfD,Frank Scholtysek,Senatsverwaltung für Stadtentwicklung und Wohnen
3807,https://kleineanfragen.de/berlin/18/17597-welche-konkreten-kriterien-muessen-erfuellt-sein-damit-projekte-im-siwana-veranschlagt-werden-koennen-bzw-duerfen,18,17597,"Welche konkreten Kriterien müssen erfüllt sein, damit Projekte im SIWANA veranschlagt werden können bzw. dürfen?",written,2019-02-06,AfD,Kristin Brinker,Senatsverwaltung für Finanzen
3808,https://kleineanfragen.de/berlin/18/17590-mit-sicherheit-nicht-inklusive,18,17590,Mit Sicherheit nicht inklusive,written,2019-02-06,FDP,Thomas Seerig,Senatsverwaltung für Inneres und Sport
3809,https://kleineanfragen.de/berlin/18/17586-ausuebung-des-bezirklichen-vorkaufsrechts,18,17586,Ausübung des bezirklichen Vorkaufsrechts,written,2019-02-06,FDP,Sibylle Meister,Senatsverwaltung für Stadtentwicklung und Wohnen
3810,https://kleineanfragen.de/berlin/18/17563-arbeiten-leben-und-wohnen-in-friedrichshain-kreuzberg-sachstand-bauaufsicht-und-stadtplanung,18,17563,"Arbeiten, Leben und Wohnen in Friedrichshain-Kreuzberg - Sachstand Bauaufsicht und Stadtplanung",written,2019-02-06,FDP,Bernd Schlömer,Senatsverwaltung für Stadtentwicklung und Wohnen
3811,https://kleineanfragen.de/berlin/18/17670-foerderung-der-integration-von-menschen-mit-fluechtlingshintergrund-im-bereich-sport,18,17670,Förderung der Integration von Menschen mit Flüchtlingshintergrund im Bereich Sport,written,2019-02-05,CDU,Tim Zeelen;Stephan Standfuß,Senatsverwaltung für Inneres und Sport
