,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
44598,Thomas vom Bruch;Thomas Röwekamp;Susanne Grobien,Thomas Röwekamp;Dr. Thomas vom Bruch;Susanne Grobien,https://kleineanfragen.de/bremen/19/119-lehrbeauftragte-an-bremischen-hochschulen,Lehrbeauftragte an bremischen Hochschulen,minor,2015-10-20T00:00:00Z,CDU,Senat,Senat
44599,Kristina Vogt;Miriam Strunge,Kristina Vogt;Miriam Strunge,https://kleineanfragen.de/bremen/19/222-ausbildungbetriebe-im-land-bremen,Ausbildungbetriebe im Land Bremen,minor,2015-10-15T00:00:00Z,Die Linke,Senat,Senat
44600,Dr. Maike Schaefer,Dr. Maike Schaefer,https://kleineanfragen.de/bremen/19/98-umsetzung-des-energiedienstleistungsgesetzes-in-den-oeffentlichen-eigenbetrieben-und-gesellschaften-bremens,Umsetzung des Energiedienstleistungsgesetzes in den öffentlichen Eigenbetrieben und Gesellschaften Bremens,minor,2015-10-06T00:00:00Z,Bündnis 90/Die Grünen,Senat,Senat
44601,Marco Lübke;Thomas vom Bruch;Thomas Röwekamp;Wilhelm Hinners,Thomas Röwekamp;Dr. Thomas vom Bruch;Marco Lübke;Wilhelm Hinners,https://kleineanfragen.de/bremen/19/97-kennzahlen-der-polizei-bremen,Kennzahlen der Polizei Bremen,minor,2015-10-06T00:00:00Z,CDU,Senat,Senat
44602,Kristina Vogt;Miriam Strunge,Kristina Vogt;Miriam Strunge,https://kleineanfragen.de/bremen/19/92-militaerische-wehrtechnische-ruestungs-und-sicherheitsrelevante-forschung-und-lehre-an-den-oeffentlichen-hochschulen,"Militärische, wehrtechnische, rüstungs- und sicherheitsrelevante Forschung und Lehre an den öffentlichen Hochschulen in Bremen und Bremerhaven sowie an den außeruniversitären Forschungseinrichtungen",minor,2015-09-29T00:00:00Z,Die Linke,Senat,Senat
44603,Claas Rohmeyer;Thomas vom Bruch;Thomas Röwekamp,Thomas Röwekamp;Claas Rohmeyer;Dr. Thomas vom Bruch,https://kleineanfragen.de/bremen/19/91-wie-digital-lernen-kinder-an-schulen-in-bremen-und-bremerhaven,Wie digital lernen Kinder an Schulen in Bremen und Bremerhaven?,minor,2015-09-29T00:00:00Z,CDU,Senat,Senat
44604,Lencke Steiner;Dr. Magnus Buhlert;Prof. Dr. Hauke Hilz,Lencke Steiner;Dr. Magnus Buhlert;Prof. Dr. Hauke Hilz,https://kleineanfragen.de/bremen/19/59-ende-der-nutzung-der-deponie-grauer-wall,Ende der Nutzung der Deponie Grauer Wall,minor,2015-09-08T00:00:00Z,FDP,Senat,Senat
44605,Kristina Vogt,Kristina Vogt,https://kleineanfragen.de/bremen/19/52-islamfeindliche-und-antimuslimische-straftaten-im-land-bremen,Islamfeindliche und antimuslimische Straftaten im Land Bremen,minor,2015-09-01T00:00:00Z,Die Linke,Senat,Senat
44606,Kristina Vogt;Peter Erlanson,Kristina Vogt;Peter Erlanson,https://kleineanfragen.de/bremen/19/51-strafverfolgung-von-drogennutzerinnen-drogennutzern,Strafverfolgung von Drogennutzerinnen/Drogennutzern,minor,2015-09-01T00:00:00Z,Die Linke,Senat,Senat
44607,Marco Lübke;Thomas vom Bruch;Thomas Röwekamp;Wilhelm Hinners,Thomas Röwekamp;Dr. Thomas vom Bruch;Marco Lübke;Wilhelm Hinners,https://kleineanfragen.de/bremen/19/47-fuhrparkkonzept-der-polizei-bremen,Fuhrparkkonzept der Polizei Bremen,minor,2015-08-25T00:00:00Z,CDU,Senat,Senat
