,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
28,Kordula Schulz-Asche;Maria Klein-Schmeink;Stephan Kühn,Kordula Schulz-Asche;Stephan Kühn;Maria Klein-Schmeink,https://kleineanfragen.de/bundestag/18/13649-gesundheitliche-folgen-von-dieselabgasen-und-schlussfolgerungen-aus-dem-sogenannten-dieselskandal,Gesundheitliche Folgen von Dieselabgasen und Schlussfolgerungen aus dem sogenannten Dieselskandal,minor,2017-09-27T00:00:00Z,Bündnis 90/Die Grünen,Bau und Reaktorsicherheit,Bau und Reaktorsicherheit
29,Christine Buchholz;Jan van Aken;Annette Groth,Annette Groth;Christine Buchholz;Jan van Aken,https://kleineanfragen.de/bundestag/18/13648-export-von-kleinwaffen,Export von Kleinwaffen,minor,2017-09-27T00:00:00Z,Die Linke,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie
30,Agnieszka Brugger;Omid Nouripour;Dr. Konstantin von Notz,Dr. Konstantin von Notz;Agnieszka Brugger;Omid Nouripour,https://kleineanfragen.de/bundestag/18/13647-export-von-ueberwachungstechnik-und-schutz-der-menschenrechte,Export von Überwachungstechnik und Schutz der Menschenrechte,minor,2017-09-27T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie
31,Karin Binder;Caren Lay;Dr. Kirsten Tackmann,Karin Binder;Caren Lay;Dr. Kirsten Tackmann,https://kleineanfragen.de/bundestag/18/13646-herdenschutz-als-agrarpolitische-verantwortung,Herdenschutz als agrarpolitische Verantwortung,minor,2017-09-27T00:00:00Z,Die Linke,Bundesministerium für Ernährung und Landwirtschaft,Bundesministerium für Ernährung und Landwirtschaft
32,Katharina Dröge;Uwe Kekeritz;Claudia Roth,Claudia Roth;Katharina Dröge;Uwe Kekeritz,https://kleineanfragen.de/bundestag/18/13645-investitionsschutzabkommen-mit-myanmar,Investitionsschutzabkommen mit Myanmar,minor,2017-09-27T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie
33,Ulla Jelpke;Christine Buchholz;Jan van Aken,Christine Buchholz;Jan van Aken;Ulla Jelpke,https://kleineanfragen.de/bundestag/18/13644-rechtsextreme-vorkommnisse-und-verdachtsfaelle-in-der-bundeswehr-im-jahr-2017,Rechtsextreme Vorkommnisse und Verdachtsfälle in der Bundeswehr im Jahr 2017,minor,2017-09-26T00:00:00Z,Die Linke,Bundesministerium der Verteidigung,Bundesministerium der Verteidigung
34,Dr. André Hahn;Ulla Jelpke;Frank Tempel,Ulla Jelpke;Frank Tempel;Dr. André Hahn,https://kleineanfragen.de/bundestag/18/13643-die-sportpolitik-im-regierungsentwurf-zum-bundeshaushalt-2018,Die Sportpolitik im Regierungsentwurf zum Bundeshaushalt 2018,minor,2017-09-26T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
35,Luise Amtsberg;Uwe Kekeritz;Claudia Roth,Luise Amtsberg;Claudia Roth;Uwe Kekeritz,https://kleineanfragen.de/bundestag/18/13640-funktionsweise-des-nothilfe-treuhandfonds-der-europaeischen-union-fuer-afrika,Funktionsweise des Nothilfe-Treuhandfonds der Europäischen Union für Afrika,minor,2017-09-25T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung,Bundesministerium für wirtschaftliche Zusammenarbeit und Entwicklung
36,Marieluise Beck;Dr. Franziska Brantner;Annalena Baerbock,Dr. Franziska Brantner;Annalena Baerbock;Marieluise Beck,https://kleineanfragen.de/bundestag/18/13639-turbinenlieferung-auf-die-von-russland-voelkerrechtswidrig-annektierte-halbinsel-krim,Turbinenlieferung auf die von Russland völkerrechtswidrig annektierte Halbinsel Krim,minor,2017-09-25T00:00:00Z,Bündnis 90/Die Grünen,Auswärtiges Amt,Auswärtiges Amt
37,Dr. Franziska Brantner;Luise Amtsberg;Omid Nouripour,Luise Amtsberg;Omid Nouripour;Dr. Franziska Brantner,https://kleineanfragen.de/bundestag/18/13638-politische-lage-in-libyen-und-aufbau-von-auffanglagern-fuer-fluechtlinge,Politische Lage in Libyen und Aufbau von Auffanglagern für Flüchtlinge,minor,2017-09-25T00:00:00Z,Bündnis 90/Die Grünen,Auswärtiges Amt,Auswärtiges Amt
38,Ulla Jelpke;Jan van Aken;Frank Tempel,Jan van Aken;Frank Tempel;Ulla Jelpke,https://kleineanfragen.de/bundestag/18/13636-oeffentliche-auftritte-der-bundeswehr-im-vierten-quartal-2017,Öffentliche Auftritte der Bundeswehr im vierten Quartal 2017,minor,2017-09-22T00:00:00Z,Die Linke,Bundesministerium der Verteidigung,Bundesministerium der Verteidigung
39,Matthias Gastel;Stephan Kühn;Harald Ebner,Matthias Gastel;Harald Ebner;Stephan Kühn,https://kleineanfragen.de/bundestag/18/13635-planung-der-ortsumgehung-fuerstenberg-havel-b-96-ausbau-des-streckenzugs-kreuz-oranienburg-neubrandenburg,Planung der Ortsumgehung Fürstenberg (Havel) (B 96) - Ausbau des Streckenzugs Kreuz Oranienburg - Neubrandenburg,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
40,Kathrin Vogler;Katja Kipping;Frank Tempel,Katja Kipping;Kathrin Vogler;Frank Tempel,https://kleineanfragen.de/bundestag/18/13634-importgenehmigungen-fuer-medizinisches-cannabis-und-ausschreibungsverfahren-der-cannabis-agentur,Importgenehmigungen für medizinisches Cannabis und Ausschreibungsverfahren der Cannabis-Agentur,minor,2017-09-22T00:00:00Z,Die Linke,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit
41,Sven-Christian Kindler;Oliver Krischer;Dr. Valerie Wilms,Oliver Krischer;Dr. Valerie Wilms;Sven-Christian Kindler,https://kleineanfragen.de/bundestag/18/13633-drohende-insolvenz-der-oepp-betreibergesellschaft-a1-mobil,Drohende Insolvenz der ÖPP-Betreibergesellschaft „A1-Mobil“,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
42,Matthias Gastel;Kerstin Andreae;Sylvia Kotting-Uhl,Sylvia Kotting-Uhl;Kerstin Andreae;Matthias Gastel,https://kleineanfragen.de/bundestag/18/13632-tunnelhavarie-an-der-rheintalbahn-bei-rastatt,Tunnelhavarie an der Rheintalbahn bei Rastatt,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
43,Tabea Rößner;Matthias Gastel;Annalena Baerbock,Matthias Gastel;Tabea Rößner;Annalena Baerbock,https://kleineanfragen.de/bundestag/18/13631-ausbau-der-breitbandversorgung-in-brandenburg,Ausbau der Breitbandversorgung in Brandenburg,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
44,Tabea Rößner;Matthias Gastel;Markus Tressel,Matthias Gastel;Tabea Rößner;Markus Tressel,https://kleineanfragen.de/bundestag/18/13630-ausbau-der-breitbandversorgung-im-saarland,Ausbau der Breitbandversorgung im Saarland,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
45,Tabea Rößner;Peter Meiwald;Dr. Julia Verlinden,Dr. Julia Verlinden;Tabea Rößner;Peter Meiwald,https://kleineanfragen.de/bundestag/18/13629-ausbau-der-breitbandversorgung-in-niedersachsen,Ausbau der Breitbandversorgung in Niedersachsen,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
46,Dr. Tobias Lindner;Corinna Rüffer;Tabea Rößner,Corinna Rüffer;Dr. Tobias Lindner;Tabea Rößner,https://kleineanfragen.de/bundestag/18/13628-ausbau-der-breitbandversorgung-in-rheinland-pfalz,Ausbau der Breitbandversorgung in Rheinland-Pfalz,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
47,Tabea Rößner;Matthias Gastel;Dr. Valerie Wilms,Matthias Gastel;Tabea Rößner;Dr. Valerie Wilms,https://kleineanfragen.de/bundestag/18/13627-ausbau-der-breitbandversorgung-in-schleswig-holstein,Ausbau der Breitbandversorgung in Schleswig-Holstein,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
48,Tabea Rößner;Matthias Gastel;Steffi Lemke,Matthias Gastel;Tabea Rößner;Steffi Lemke,https://kleineanfragen.de/bundestag/18/13626-ausbau-der-breitbandversorgung-in-sachsen-anhalt,Ausbau der Breitbandversorgung in Sachsen-Anhalt,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
49,Tabea Rößner;Kai Gehring;Oliver Krischer,Kai Gehring;Tabea Rößner;Oliver Krischer,https://kleineanfragen.de/bundestag/18/13625-ausbau-der-breitbandversorgung-in-nordrhein-westfalen,Ausbau der Breitbandversorgung in Nordrhein-Westfalen,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
50,Tabea Rößner;Matthias Gastel;Dr. Harald Terpe,Matthias Gastel;Tabea Rößner;Dr. Harald Terpe,https://kleineanfragen.de/bundestag/18/13624-ausbau-der-breitbandversorgung-in-mecklenburg-vorpommern,Ausbau der Breitbandversorgung in Mecklenburg-Vorpommern,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
51,Tabea Rößner;Matthias Gastel;Stephan Kühn,Matthias Gastel;Tabea Rößner;Stephan Kühn,https://kleineanfragen.de/bundestag/18/13623-ausbau-der-breitbandversorgung-in-sachsen,Ausbau der Breitbandversorgung in Sachsen,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
52,Tabea Rößner;Matthias Gastel;Nicole Maisch,Matthias Gastel;Tabea Rößner;Nicole Maisch,https://kleineanfragen.de/bundestag/18/13622-ausbau-der-breitbandversorgung-in-hessen,Ausbau der Breitbandversorgung in Hessen,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
53,Renate Künast;Tabea Rößner;Lisa Paus,Renate Künast;Tabea Rößner;Lisa Paus,https://kleineanfragen.de/bundestag/18/13621-ausbau-der-breitbandversorgung-in-berlin,Ausbau der Breitbandversorgung in Berlin,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
54,Tabea Rößner;Matthias Gastel;Dieter Janecek,Matthias Gastel;Tabea Rößner;Dieter Janecek,https://kleineanfragen.de/bundestag/18/13620-ausbau-der-breitbandversorgung-in-bayern,Ausbau der Breitbandversorgung in Bayern,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
55,Stephan Kühn;Cem Özdemir;Oliver Krischer,Cem Özdemir;Oliver Krischer;Stephan Kühn,https://kleineanfragen.de/bundestag/18/13619-fortentwicklung-der-europaeischen-co2-gesetzgebung-fuer-personenkraftwagen,Fortentwicklung der europäischen CO2-Gesetzgebung für Personenkraftwagen,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bau und Reaktorsicherheit,Bau und Reaktorsicherheit
56,Renate Künast;Katharina Dröge;Oliver Krischer,Renate Künast;Oliver Krischer;Katharina Dröge,https://kleineanfragen.de/bundestag/18/13618-kenntnisse-der-bundesregierung-von-kartellrechtlich-relevanten-absprachen-der-automobilindustrie-und-staerkung-von,Kenntnisse der Bundesregierung von kartellrechtlich relevanten Absprachen der Automobilindustrie und Stärkung von Verbraucherrechten im Rahmen von Kartellverfahren,minor,2017-09-22T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz
57,Kordula Schulz-Asche;Uwe Kekeritz;Kai Gehring,Kordula Schulz-Asche;Kai Gehring;Uwe Kekeritz,https://kleineanfragen.de/bundestag/18/13641-globale-forschungsplattform-gegen-antimikrobielle-resistenzen,Globale Forschungsplattform gegen antimikrobielle Resistenzen,minor,2017-09-21T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Bildung und Forschung,Bundesministerium für Bildung und Forschung
58,Jutta Krellmann;Sabine Zimmermann;Klaus Ernst,Sabine Zimmermann;Klaus Ernst;Jutta Krellmann,https://kleineanfragen.de/bundestag/18/13614-lohnentwicklung-in-deutschland,Lohnentwicklung in Deutschland,minor,2017-09-21T00:00:00Z,Die Linke,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales
59,Dr. André Hahn;Katja Kipping;Ulla Jelpke,Katja Kipping;Dr. André Hahn;Ulla Jelpke,https://kleineanfragen.de/bundestag/18/13613-kooperation-von-verfassungsschutzaemtern-mit-der-bundesagentur-fuer-arbeit,Kooperation von Verfassungsschutzämtern mit der Bundesagentur für Arbeit,minor,2017-09-21T00:00:00Z,Die Linke,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales
60,Maria Klein-Schmeink;Kordula Schulz-Asche;Dr. Harald Terpe,Dr. Harald Terpe;Maria Klein-Schmeink;Kordula Schulz-Asche,https://kleineanfragen.de/bundestag/18/13612-umsetzung-des-praeventionsgesetzes,Umsetzung des Präventionsgesetzes,minor,2017-09-21T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Gesundheit,Bundesministerium für Gesundheit
61,Hubertus Zdebel;Herbert Behrens;Caren Lay,Herbert Behrens;Caren Lay;Hubertus Zdebel,https://kleineanfragen.de/bundestag/18/13609-atommuelllager-leese-in-niedersachsen,Atommülllager Leese in Niedersachsen,minor,2017-09-20T00:00:00Z,Die Linke,Bau und Reaktorsicherheit,Bau und Reaktorsicherheit
62,Beate Müller-Gemmeke;Markus Kurth;Brigitte Pothmer,Brigitte Pothmer;Markus Kurth;Beate Müller-Gemmeke,https://kleineanfragen.de/bundestag/18/13608-arbeit-auf-abruf,Arbeit auf Abruf,minor,2017-09-20T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales
