,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
0,Sevim Dağdelen;Heike Hänsel;Annette Groth,Heike Hänsel;Annette Groth;Sevim Dağdelen,https://kleineanfragen.de/bundestag/18/13705-taetigkeit-von-dokumenten-und-visumberatern-im-ausland,Tätigkeit von Dokumenten- und Visumberatern im Ausland,minor,2017-10-23T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
1,Sevim Dağdelen;Niema Movassat;Heike Hänsel;Dr. Alexander S. Neu,Niema Movassat;Sevim Dağdelen;Dr. Alexander S. Neu;Heike Hänsel,https://kleineanfragen.de/bundestag/18/13704-die-rolle-der-us-basis-ramstein-und-anderer-deutscher-us-basen-bei-der-lieferung-von-us-ruestungsguetern-nach,Die Rolle der US-Basis Ramstein und anderer deutscher US-Basen bei der Lieferung von US-Rüstungsgütern nach Syrien,minor,2017-10-23T00:00:00Z,Die Linke,Auswärtiges Amt,Auswärtiges Amt
2,Dr. André Hahn;Ulla Jelpke;Kerstin Kassner,Kerstin Kassner;Dr. André Hahn;Ulla Jelpke,https://kleineanfragen.de/bundestag/18/13703-fragen-zu-moeglicherweise-fehlerhaften-bestandskraftbescheiden-des-bundesamtes-fuer-migration-und-fluechtlinge,Fragen zu möglicherweise fehlerhaften Bestandskraftbescheiden des Bundesamtes für Migration und Flüchtlinge,minor,2017-10-23T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
3,Sevim Dağdelen;Heike Hänsel;Annette Groth,Heike Hänsel;Annette Groth;Sevim Dağdelen,https://kleineanfragen.de/bundestag/18/13702-verstaerkte-spionageaktivitaeten-der-tuerkei-und-verfolgung-von-erdogan-kritikern,Verstärkte Spionageaktivitäten der Türkei und Verfolgung von Erdogan-Kritikern,minor,2017-10-23T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
4,Dr. André Hahn;Andrej Hunko;Annette Groth,Annette Groth;Andrej Hunko;Dr. André Hahn,https://kleineanfragen.de/bundestag/18/13698-deutsch-russische-zivilgesellschaftliche-zusammenarbeit,Deutsch-russische zivilgesellschaftliche Zusammenarbeit,minor,2017-10-23T00:00:00Z,Die Linke,Auswärtiges Amt,Auswärtiges Amt
5,Heike Hänsel;Andrej Hunko;Annette Groth;Niema Movassat,Andrej Hunko;Heike Hänsel;Annette Groth;Niema Movassat,https://kleineanfragen.de/bundestag/18/13697-der-compact-with-africa-und-geplante-reformpartnerschaften-mit-afrikanischen-laendern-zur-verbesserung-von,Der Compact with Africa und geplante „Reformpartnerschaften“ mit afrikanischen Ländern zur Verbesserung von Investitionsbedingungen,minor,2017-10-23T00:00:00Z,Die Linke,Bundesministerium der Finanzen,Bundesministerium der Finanzen
6,Christine Buchholz;Jan van Aken;Andrej Hunko,Christine Buchholz;Jan van Aken;Andrej Hunko,https://kleineanfragen.de/bundestag/18/13688-zusammenarbeit-mit-aegypten-zur-kontrolle-und-abwehr-von-migration,Zusammenarbeit mit Ägypten zur Kontrolle und Abwehr von Migration,minor,2017-10-18T00:00:00Z,Die Linke,Auswärtiges Amt,Auswärtiges Amt
7,Andrej Hunko;Jan van Aken;Wolfgang Gehrcke,Jan van Aken;Wolfgang Gehrcke;Andrej Hunko,https://kleineanfragen.de/bundestag/18/13687-kontrolle-unerwuenschter-migration-an-der-libyschen-suedgrenze,Kontrolle unerwünschter Migration an der libyschen Südgrenze,minor,2017-10-18T00:00:00Z,Die Linke,Auswärtiges Amt,Auswärtiges Amt
8,Dr. Tobias Lindner;Britta Haßelmann;Dr. Gerhard Schick,Dr. Tobias Lindner;Britta Haßelmann;Dr. Gerhard Schick,https://kleineanfragen.de/bundestag/18/13686-konsequenzen-aus-den-cum-ex-und-cum-cum-geschaeften,Konsequenzen aus den Cum/Ex- und Cum/Cum-Geschäften,minor,2017-10-17T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium der Finanzen,Bundesministerium der Finanzen
9,Inge Höger;Andrej Hunko;Annette Groth,Inge Höger;Annette Groth;Andrej Hunko,https://kleineanfragen.de/bundestag/18/13684-grenzueberschreitende-verdeckte-ermittlungen-und-ueberwachung-mithilfe-der-polizeiagentur-europol,Grenzüberschreitende verdeckte Ermittlungen und Überwachung mithilfe der Polizeiagentur Europol,minor,2017-10-13T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
10,Halina Wawzyniak;Ulla Jelpke;Dr. Petra Sitte,Dr. Petra Sitte;Ulla Jelpke;Halina Wawzyniak,https://kleineanfragen.de/bundestag/18/13682-merchandising-des-bundesamtes-fuer-verfassungsschutz,Merchandising des Bundesamtes für Verfassungsschutz,minor,2017-10-12T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
11,Birgit Menz;Caren Lay;Wolfgang Gehrcke,Wolfgang Gehrcke;Caren Lay;Birgit Menz,https://kleineanfragen.de/bundestag/18/13681-exporte-von-kriegswaffen-und-sonstigen-ruestungsguetern-aus-bremen,Exporte von Kriegswaffen und sonstigen Rüstungsgütern aus Bremen,minor,2017-10-09T00:00:00Z,Die Linke,Bundesministerium für Wirtschaft und Energie,Bundesministerium für Wirtschaft und Energie
12,Dr. André Hahn;Sabine Leidig;Caren Lay,Caren Lay;Dr. André Hahn;Sabine Leidig,https://kleineanfragen.de/bundestag/18/13673-aktuelle-planungen-fuer-das-projekt-einer-neuen-bahnstrecke-von-dresden-nach-prag,Aktuelle Planungen für das Projekt einer neuen Bahnstrecke von Dresden nach Prag,minor,2017-10-09T00:00:00Z,Die Linke,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
13,Monika Lazar;Lisa Paus;Özcan Mutlu,Lisa Paus;Monika Lazar;Özcan Mutlu,https://kleineanfragen.de/bundestag/18/13672-regierungsgarantien-fuer-die-bewerbung-um-die-fussballeuropameisterschaft-der-maenner-2024-in-deutschland,Regierungsgarantien für die Bewerbung um die Fußballeuropameisterschaft der Männer 2024 in Deutschland,minor,2017-10-09T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium des Innern,Bundesministerium des Innern
14,Sevim Dağdelen;Petra Pau;Frank Tempel,Sevim Dağdelen;Frank Tempel;Petra Pau,https://kleineanfragen.de/bundestag/18/13671-auslaenderfeindliche-und-rechtsextremistische-straftaten-in-der-bundesrepublik-deutschland-im-august-2017,Ausländerfeindliche und rechtsextremistische Straftaten in der Bundesrepublik Deutschland im August 2017,minor,2017-10-09T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
15,Sevim Dağdelen;Ulla Jelpke;Frank Tempel,Sevim Dağdelen;Frank Tempel;Ulla Jelpke,https://kleineanfragen.de/bundestag/18/13670-unterschiede-in-den-bundeslaendern-in-der-asylentscheidungspraxis-des-bundesamts-fuer-migration-und-fluechtlinge,Unterschiede in den Bundesländern in der Asylentscheidungspraxis des Bundesamts für Migration und Flüchtlinge,minor,2017-10-09T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
16,Karin Binder;Herbert Behrens;Caren Lay,Karin Binder;Caren Lay;Herbert Behrens,https://kleineanfragen.de/bundestag/18/13669-ergebnisse-des-ersten-gespraeches-nationales-forum-diesel-dieselgipfel-vom-2-august-2017,"Ergebnisse des ersten Gespräches ""Nationales Forum Diesel"" (""Dieselgipfel"") vom 2. August 2017",minor,2017-10-09T00:00:00Z,Die Linke,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
17,Stephan Kühn;Cem Özdemir;Oliver Krischer,Cem Özdemir;Oliver Krischer;Stephan Kühn,https://kleineanfragen.de/bundestag/18/13668-vereinbarungen-des-nationalen-forums-diesel-fahrzeugumruestungen-mittels-software-updates-und-auswirkungen-auf-die,"Vereinbarungen des ""Nationalen Forums Diesel"": Fahrzeugumrüstungen mittels Software-Updates und Auswirkungen auf die Luftqualität",minor,2017-10-09T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium für Verkehr und digitale Infrastruktur,Bundesministerium für Verkehr und digitale Infrastruktur
18,Dr. André Hahn;Ulla Jelpke;Martina Renner,Ulla Jelpke;Dr. André Hahn;Martina Renner,https://kleineanfragen.de/bundestag/18/13661-erkenntnisse-von-polizei-und-verfassungsschutz-zu-den-rechtsrockkonzerten-in-themar,Erkenntnisse von Polizei und Verfassungsschutz zu den Rechtsrockkonzerten in Themar,minor,2017-09-29T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
19,Dr. André Hahn;Ulla Jelpke;Martina Renner,Ulla Jelpke;Dr. André Hahn;Martina Renner,https://kleineanfragen.de/bundestag/18/13660-neonazis-als-moegliche-quellen-von-nachrichtendiensten,Neonazis als mögliche Quellen von Nachrichtendiensten,minor,2017-09-29T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
20,Niema Movassat;Andrej Hunko;Dr. Alexander S. Neu,Dr. Alexander S. Neu;Niema Movassat;Andrej Hunko,https://kleineanfragen.de/bundestag/18/13659-auswirkungen-der-sanktionspolitik-auf-zivilgesellschaftliche-beziehungen-zur-halbinsel-krim,Auswirkungen der Sanktionspolitik auf zivilgesellschaftliche Beziehungen zur Halbinsel Krim,minor,2017-09-29T00:00:00Z,Die Linke,Auswärtiges Amt,Auswärtiges Amt
21,Dr. Tobias Lindner;Volker Beck;Katja Keul,Dr. Tobias Lindner;Katja Keul;Volker Beck,https://kleineanfragen.de/bundestag/18/13658-einfluss-auslaendischer-staaten-parteien-und-stiftungen-auf-islamische-gemeinschaften-in-deutschland-und-offene,"Einfluss ausländischer Staaten, Parteien und Stiftungen auf islamische Gemeinschaften in Deutschland und offene Fragen aus der Deutschen Islam-Konferenz (DIK)",minor,2017-09-29T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium des Innern,Bundesministerium des Innern
22,Dr. André Hahn;Jan Korte;Frank Tempel;Katrin Kunert,Katrin Kunert;Jan Korte;Frank Tempel;Dr. André Hahn,https://kleineanfragen.de/bundestag/18/13657-aktuelle-fragen-zur-neustrukturierung-des-leistungssports-und-der-spitzensportfoerderung,Aktuelle Fragen zur Neustrukturierung des Leistungssports und der Spitzensportförderung,minor,2017-09-29T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
23,Jutta Krellmann;Klaus Ernst;Susanna Karawanskij,Susanna Karawanskij;Klaus Ernst;Jutta Krellmann,https://kleineanfragen.de/bundestag/18/13655-die-entwicklung-des-normalarbeitsverhaeltnisses-in-den-einzelnen-bundeslaendern,Die Entwicklung des Normalarbeitsverhältnisses in den einzelnen Bundesländern,minor,2017-09-28T00:00:00Z,Die Linke,Bundesministerium für Arbeit und Soziales,Bundesministerium für Arbeit und Soziales
24,Eva Bulling-Schröter;Hubertus Zdebel;Caren Lay,Caren Lay;Eva Bulling-Schröter;Hubertus Zdebel,https://kleineanfragen.de/bundestag/18/13654-schacht-konrad-und-das-nationale-entsorgungsprogramm,"Schacht Konrad und das ""Nationale Entsorgungsprogramm""",minor,2017-09-28T00:00:00Z,Die Linke,Bau und Reaktorsicherheit,Bau und Reaktorsicherheit
25,Dr. André Hahn;Jan Korte;Ulla Jelpke,Jan Korte;Dr. André Hahn;Ulla Jelpke,https://kleineanfragen.de/bundestag/18/13653-verdacht-rechtswidriger-speicherungen-in-staatsschutzdateien-des-bundeskriminalamtes,Verdacht rechtswidriger Speicherungen in Staatsschutzdateien des Bundeskriminalamtes,minor,2017-09-28T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
26,Renate Künast;Irene Mihalic;Dr. Konstantin von Notz,Renate Künast;Konstantin von Notz;Dr. Konstantin von Notz;Irene Mihalic,https://kleineanfragen.de/bundestag/18/13652-interpol-und-der-fall-dogan-akhanli,Interpol und der Fall Dogan Akhanli,minor,2017-09-27T00:00:00Z,Bündnis 90/Die Grünen,Bundesministerium der Justiz und für Verbraucherschutz,Bundesministerium der Justiz und für Verbraucherschutz
27,Dr. André Hahn;Jan Korte;Ulla Jelpke;Katrin Kunert,Jan Korte;Ulla Jelpke;Katrin Kunert;Dr. André Hahn,https://kleineanfragen.de/bundestag/18/13650-dopingopfer-in-deutschland,Dopingopfer in Deutschland,minor,2017-09-27T00:00:00Z,Die Linke,Bundesministerium des Innern,Bundesministerium des Innern
