,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
27892,Özcan Mutlu,Özcan Mutlu,https://kleineanfragen.de/berlin/17/10942-erhalt-des-comenius-programmes-an-berliner-schulen,Erhalt des COMENIUS-Programmes an Berliner Schulen,minor,2012-10-01T00:00:00Z,Bündnis 90/Die Grünen,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
27893,Elke Breitenbach;Hakan Taş,Hakan Taş;Elke Breitenbach,https://kleineanfragen.de/berlin/17/10921-umsetzung-des-bundesverfassungsgerichtsurteils-zum-asylbewerberleistungsgesetz-in-berlin,Umsetzung des Bundesverfassungsgerichtsurteils zum Asylbewerberleistungsgesetz in Berlin,minor,2012-10-01T00:00:00Z,Die Linke,Senatsverwaltung für Gesundheit und Soziales,Senatsverwaltung für Gesundheit und Soziales
27894,Irene Köhne,Irene Köhne,https://kleineanfragen.de/berlin/17/10918-nachverdichtungspotenzial-in-allen-berliner-bezirken-gleichermassen-ausschoepfen,Nachverdichtungspotenzial in allen Berliner Bezirken gleichermaßen ausschöpfen?,minor,2012-10-01T00:00:00Z,SPD,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27895,Susanne Graf,Susanne Graf,https://kleineanfragen.de/berlin/17/10915-ombudsstellen-in-der-kinder-und-jugendhilfe,Ombudsstellen in der Kinder- und Jugendhilfe,minor,2012-10-01T00:00:00Z,Piraten,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
27896,Oliver Höfinghoff,Oliver Höfinghoff,https://kleineanfragen.de/berlin/17/10878-ber-debakel-xix-flughafen-nicht-rollstuhlgerecht-geplant,BER-Debakel (XIX): Flughafen nicht rollstuhlgerecht geplant?,minor,2012-10-01T00:00:00Z,Piraten,Senatsverwaltung für Gesundheit und Soziales,Senatsverwaltung für Gesundheit und Soziales
27897,Wolfgang Brauer,Wolfgang Brauer,https://kleineanfragen.de/berlin/17/10958-kulturpolitik-ist-beteiligungspolitik,Kulturpolitik ist Beteiligungspolitik,minor,2012-09-30T00:00:00Z,Die Linke,Senatskanzlei – Kulturelle Angelegenheiten,Senatskanzlei – Kulturelle Angelegenheiten
27898,Heiko Thomas,Heiko Thomas,https://kleineanfragen.de/berlin/17/10886-humboldt-universitaet-im-auftrag-der-tabaklobby,Humboldt-Universität im Auftrag der Tabaklobby,minor,2012-09-29T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Justiz und Verbraucherschutz,Senatsverwaltung für Justiz und Verbraucherschutz
27899,Simon Kowalewski;Philipp Magalski,Philipp Magalski;Simon Kowalewski,https://kleineanfragen.de/berlin/17/10930-animal-hoarding-faelle-von-krankhafter-tiersammelsucht-in-berlin,Animal Hoarding: Fälle von krankhafter Tiersammelsucht in Berlin,minor,2012-09-28T00:00:00Z,Piraten,Senatsverwaltung für Justiz und Verbraucherschutz,Senatsverwaltung für Justiz und Verbraucherschutz
27900,Andreas Otto,Andreas Otto,https://kleineanfragen.de/berlin/17/10927-buendnis-fuer-soziale-wohnungspolitik,Bündnis für soziale Wohnungspolitik,minor,2012-09-28T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27901,Robert Schaddach,Robert Schaddach,https://kleineanfragen.de/berlin/17/10864-fragen-zu-beratungsstellen-zum-anerkennungsgesetz,Fragen zu Beratungsstellen zum Anerkennungsgesetz,minor,2012-09-28T00:00:00Z,SPD,"Senatsverwaltung für Arbeit, Integration und Frauen","Senatsverwaltung für Arbeit, Integration und Frauen"
27902,Oliver Höfinghoff,Oliver Höfinghoff,https://kleineanfragen.de/berlin/17/10982-ber-debakel-xxvi-welche-kosten-entstanden-fuer-baustellenfuehrungen,BER-Debakel (XXVI): Welche Kosten entstanden für Baustellenführungen?,minor,2012-09-27T00:00:00Z,Piraten,Regierender Bürgermeister,Regierender Bürgermeister
27903,Andreas Otto,Andreas Otto,https://kleineanfragen.de/berlin/17/10907-neue-strassenbeleuchtung-wie-ist-der-stand,Neue Straßenbeleuchtung - wie ist der Stand?,minor,2012-09-27T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27904,Joachim Krüger,Joachim Krüger,https://kleineanfragen.de/berlin/17/10893-erfahrungen-mit-dem-eingliederungsmanagement-nach-dem-sgb-ix-in-der-berliner-verwaltung,Erfahrungen mit dem Eingliederungsmanagement nach dem SGB IX in der Berliner Verwaltung,minor,2012-09-27T00:00:00Z,CDU,Senatsverwaltung für Inneres und Sport,Senatsverwaltung für Inneres und Sport
27905,Dr. Simon Weiß,Dr. Simon Weiß,https://kleineanfragen.de/berlin/17/10888-panoramafreiheit-in-oeffentlich-zugaenglichen-raeumen-berlins,Panoramafreiheit in öffentlich zugänglichen Räumen Berlins,minor,2012-09-27T00:00:00Z,Piraten,Senatsverwaltung für Finanzen,Senatsverwaltung für Finanzen
27906,Katrin Schmidberger,Katrin Schmidberger,https://kleineanfragen.de/berlin/17/10877-keine-aufstockung-der-bundesmittel-wie-weiter-mit-der-sozialen-stadt,Keine Aufstockung der Bundesmittel - wie weiter mit der Sozialen Stadt?,minor,2012-09-27T00:00:00Z,Bündnis 90/Die Grünen,Senatsverwaltung für Stadtentwicklung und Umwelt,Senatsverwaltung für Stadtentwicklung und Umwelt
27907,Joschka Langenbrinck,Joschka Langenbrinck,https://kleineanfragen.de/berlin/17/10780-entwicklung-der-schulschwaenzer-innen-in-den-berliner-bezirken,Entwicklung der Schulschwänzer/innen in den Berliner Bezirken,minor,2012-09-27T00:00:00Z,SPD,"Senatsverwaltung für Bildung, Jugend und Wissenschaft","Senatsverwaltung für Bildung, Jugend und Wissenschaft"
27908,Dr. Simon Weiß,Dr. Simon Weiß,https://kleineanfragen.de/berlin/17/10961-veroeffentlichung-von-vertraegen-der-daseinsvorsorge,Veröffentlichung von Verträgen der Daseinsvorsorge,minor,2012-09-26T00:00:00Z,Piraten,Senatsverwaltung für Finanzen,Senatsverwaltung für Finanzen
