,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
44174,Mustafa Güngör;Björn Tschöpe;Sybille Böschen;Margitta Schmidtke,Björn Tschöpe;Mustafa Güngör;Margitta Schmidtke;Sybille Böschen,https://kleineanfragen.de/bremen/18/1843-erbringung-von-assistenzleistungen-im-land-bremen,Erbringung von Assistenzleistungen im Land Bremen,minor,2015-05-26T00:00:00Z,SPD,Senat,Senat
44175,Kristina Vogt;Peter Erlanson,Kristina Vogt;Peter Erlanson,https://kleineanfragen.de/bremen/18/694-s-unterdeckung-bei-kosten-der-unterkunft,Unterdeckung bei Kosten der Unterkunft?,minor,2015-04-21T00:00:00Z,Die Linke,Senat,Senat
44176,Björn Tschöpe;Sükrü Senkal,Björn Tschöpe;Sükrü Senkal,https://kleineanfragen.de/bremen/18/1835-spielhallenkontrollen-im-land-bremen,Spielhallenkontrollen im Land Bremen,minor,2015-04-21T00:00:00Z,SPD,Senat,Senat
44177,Sarah Ryglewski;Dieter Reinken;Björn Tschöpe,Björn Tschöpe;Dieter Reinken;Sarah Ryglewski,https://kleineanfragen.de/bremen/18/1820-bewerberinnen-und-bewerber-um-einen-ausbildungsplatz,Bewerberinnen und Bewerber um einen Ausbildungsplatz,minor,2015-04-14T00:00:00Z,SPD,Senat,Senat
44178,Dieter Reinken;Björn Tschöpe;Sybille Böschen;Winfried Brumma,Björn Tschöpe;Winfried Brumma;Dieter Reinken;Sybille Böschen,https://kleineanfragen.de/bremen/18/1819-ausbildungsangebote-und-strukturen-in-den-gesundheitsfachberufen-im-land-bremen,Ausbildungsangebote und -strukturen in den Gesundheitsfachberufen im Land Bremen,minor,2015-04-14T00:00:00Z,SPD,Senat,Senat
44179,Kristina Vogt;Peter Erlanson,Kristina Vogt;Peter Erlanson,https://kleineanfragen.de/bremen/18/1818-fortwaehrende-unklarheiten-beim-bauabschnitt-2-2-der-a-281,Fortwährende Unklarheiten beim Bauabschnitt 2.2 der A 281,minor,2015-04-14T00:00:00Z,Die Linke,Senat,Senat
44180,Matthias Güldner,Matthias Güldner,https://kleineanfragen.de/bremen/18/1810-ernaehrung-im-blick-behalten-konsequenzen-aus-dem-parlamentarischen-untersuchungsausschuss-krankenhauskeime,"Ernährung im Blick behalten: Konsequenzen aus dem parlamentarischen Untersuchungsausschuss ""Krankenhauskeime""",minor,2015-04-07T00:00:00Z,Bündnis 90/Die Grünen,Senat,Senat
44181,Gabriela Piontkowski;Thomas Röwekamp,Thomas Röwekamp;Gabriela Piontkowski,https://kleineanfragen.de/bremen/18/1809-hinterlegung-von-nachlaessen-mit-unbekannten-erben,Hinterlegung von Nachlässen mit unbekannten Erben,minor,2015-04-07T00:00:00Z,CDU,Senat,Senat
44182,Claudia Bernhard;Kristina Vogt,Kristina Vogt;Claudia Bernhard,https://kleineanfragen.de/bremen/18/1808-tarifgerechtigkeit-bei-oeffentlichen-unternehmen-im-land-bremen,Tarifgerechtigkeit bei öffentlichen Unternehmen im Land Bremen,minor,2015-04-07T00:00:00Z,Die Linke,Senat,Senat
44183,Sarah Ryglewski;Björn Tschöpe,Björn Tschöpe;Sarah Ryglewski,https://kleineanfragen.de/bremen/18/1804-interessen-der-verbraucherinnen-verbraucher-in-gesetzgebungsverfahren-staerker-beruecksichtigen-umsetzung-des,"Interessen der Verbraucherinnen/Verbraucher in Gesetzgebungsverfahren stärker berücksichtigen -- Umsetzung des Bürgerschaftsbeschlusses im Lande Bremen Vorläufige,",minor,2015-03-24T00:00:00Z,SPD,Senat,Senat
