,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
73876,Hubert Ulrich,Hubert Ulrich,https://kleineanfragen.de/saarland/15/2125-smart-schools-im-saarland,Smart Schools im Saarland,written,2017-04-10T00:00:00Z,Bündnis 90/Die Grünen,Landesregierung,Landesregierung
73877,Jasmin Freigang,Jasmin Freigang,https://kleineanfragen.de/saarland/15/2124-folgen-der-zeitumstellung,Folgen der Zeitumstellung,written,2017-04-01T00:00:00Z,Piraten,Landesregierung,Landesregierung
73878,Klaus Kessler,Klaus Kessler,https://kleineanfragen.de/saarland/15/2123-situation-chronisch-kranker-insbesondere-diabetischer-kinder-in-den-schulen,"Situation chronisch kranker, insbesondere diabetischer Kinder in den Schulen",written,2017-03-28T00:00:00Z,Bündnis 90/Die Grünen,Landesregierung,Landesregierung
73879,Dagmar Ensch-Engel,Dagmar Ensch-Engel,https://kleineanfragen.de/saarland/15/2122-auswirkungen-von-windkraftanlagen-auf-die-tierwelt,Auswirkungen von Windkraftanlagen auf die Tierwelt,written,2017-03-20T00:00:00Z,Die Linke,Landesregierung,Landesregierung
73880,Dagmar Ensch-Engel,Dagmar Ensch-Engel,https://kleineanfragen.de/saarland/15/2121-flurbereinigungsverfahren-in-perl,Flurbereinigungsverfahren in Perl,written,2017-03-20T00:00:00Z,Die Linke,Landesregierung,Landesregierung
73881,Birgit Huonker,Birgit Huonker,https://kleineanfragen.de/saarland/15/2120-notfallrettung-und-krankentransport-im-saarland,Notfallrettung und Krankentransport im Saarland,written,2017-03-20T00:00:00Z,Die Linke,Landesregierung,Landesregierung
73882,Birgit Huonker,Birgit Huonker,https://kleineanfragen.de/saarland/15/2119-it-forensik-bei-der-saarlaendischen-polizei,IT Forensik bei der saarländischen Polizei,written,2017-03-20T00:00:00Z,Die Linke,Landesregierung,Landesregierung
73883,Birgit Huonker,Birgit Huonker,https://kleineanfragen.de/saarland/15/2118-ueberstunden-und-krankenstand-in-der-saarlaendischen-polizei-2016,Überstunden und Krankenstand in der saarländischen Polizei 2016,written,2017-03-20T00:00:00Z,Die Linke,Landesregierung,Landesregierung
73884,Klaus Kessler,Klaus Kessler,https://kleineanfragen.de/saarland/15/2109-nachfrage-zur-antwort-der-landesregierung-auf-die-anfrage-betreffend-handwerksmeister-im-oeffentlichen-dienst,Nachfrage zur Antwort der Landesregierung auf die Anfrage betreffend Handwerksmeister im öffentlichen Dienst [Drucksache 15/1924 (15/1874)],written,2017-03-13T00:00:00Z,Bündnis 90/Die Grünen,Landesregierung,Landesregierung
73885,Dagmar Ensch-Engel,Dagmar Ensch-Engel,https://kleineanfragen.de/saarland/15/2103-windenergie-im-saarland-aktueller-stand,Windenergie im Saarland - aktueller Stand,written,2017-03-01T00:00:00Z,Die Linke,Landesregierung,Landesregierung
