,inquiring_people_corr,inquiring_people,html_url,title,interpellation_type,published_at,inquiring_parties,answering_ministries,answering_ministries_corr
49922,Silke Gajek,Silke Gajek,https://kleineanfragen.de/mecklenburg-vorpommern/6/1617-umsetzung-der-empfehlungen-des-rundes-tisches-gegen-sexuellen-missbrauch,Umsetzung der Empfehlungen des Rundes Tisches gegen sexuellen Missbrauch,minor,2013-03-22T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
49923,Ulrike Berger,Ulrike Berger,https://kleineanfragen.de/mecklenburg-vorpommern/6/1590-provenienzforschung-zu-ns-raubgut,Provenienzforschung zu NS-Raubgut,minor,2013-03-22T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49924,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/1619-krankenstand-amtsgericht-parchim,Krankenstand Amtsgericht Parchim,minor,2013-03-20T00:00:00Z,Die Linke,Justizministerium,Justizministerium
49925,Barbara Borchardt,Barbara Borchardt,https://kleineanfragen.de/mecklenburg-vorpommern/6/1618-belange-der-bediensteten-im-strafvollzug-des-landes-mecklenburg-vorpommern,Belange der Bediensteten im Strafvollzug des Landes Mecklenburg-Vorpommern,minor,2013-03-20T00:00:00Z,Die Linke,Justizministerium,Justizministerium
49926,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1615-informationsbrief,Informationsbrief,minor,2013-03-20T00:00:00Z,NPD,Ministerium für Inneres und Sport,Ministerium für Inneres und Sport
49927,Udo Pastörs,Udo Pastörs,https://kleineanfragen.de/mecklenburg-vorpommern/6/1613-kuemmerbusse,„Kümmerbusse“,minor,2013-03-20T00:00:00Z,NPD,"Ministerium für Energie, Infrastruktur und Landesentwicklung","Ministerium für Energie, Infrastruktur und Landesentwicklung"
49928,Karen Stramm,Karen Stramm,https://kleineanfragen.de/mecklenburg-vorpommern/6/1610-ddr-geschiedene,DDR-Geschiedene,minor,2013-03-20T00:00:00Z,Die Linke,"Ministerium für Arbeit, Gleichstellung und Soziales","Ministerium für Arbeit, Gleichstellung und Soziales"
49929,Simone Oldenburg,Simone Oldenburg,https://kleineanfragen.de/mecklenburg-vorpommern/6/1603-besetzung-der-stellen-fuer-lehramtsanwaerterinnen-und-lehramtsanwaerter-sowie-studienreferendarinnen-und,Besetzung der Stellen für Lehramtsanwärterinnen und Lehramtsanwärter sowie Studienreferendarinnen und Studienreferendaren sowie Gewährleistung ihrer qualitativ hochwertigen Ausbildung,minor,2013-03-20T00:00:00Z,Die Linke,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49930,David Petereit,David Petereit,https://kleineanfragen.de/mecklenburg-vorpommern/6/1599-schule-und-vermittlung-von-grundsaetzen-einer-gesunden-ernaehrung,Schule und Vermittlung von Grundsätzen einer gesunden Ernährung,minor,2013-03-20T00:00:00Z,NPD,"Ministerium für Bildung, Wissenschaft und Kultur","Ministerium für Bildung, Wissenschaft und Kultur"
49931,Johann-Georg Jaeger,Johann-Georg Jaeger,https://kleineanfragen.de/mecklenburg-vorpommern/6/1589-stand-der-erzielten-ergebnisse-zur-verminderung-der-treibhausgasemissionen-in-mecklenburg-vorpommern-potenziale-des,Stand der erzielten Ergebnisse zur Verminderung der Treibhausgasemissionen in Mecklenburg-Vorpommern - Potenziale des Landes für Aktivitäten im Klimaschutz/ökonomische Zielsetzungen,minor,2013-03-20T00:00:00Z,Bündnis 90/Die Grünen,"Ministerium für Energie, Infrastruktur und Landesentwicklung","Ministerium für Energie, Infrastruktur und Landesentwicklung"
