,person,party
728,Gordon Hoffmann,CDU
729,Günter Baaske,SPD
730,Ingo Senftleben,CDU
731,Prof. Dr. Michael Schierack,CDU
732,Roswitha Schier,CDU
733,Raik Nowka,CDU
734,Matthias Loehr,Die Linke
735,Steeven Bretz,CDU
736,Isabelle Vandré,Die Linke
737,Dierk Homeyer,CDU
738,Péter Vida,fraktionslos
739,Kristy Augustin,CDU
740,Carsten Preuß,Die Linke
741,Klara Geywitz,SPD
742,Ina Muhß,SPD
743,Heide Schinowsky,Bündnis 90/Die Grünen
744,Thomas Domres,Die Linke
745,Anita Tack,Die Linke
746,Björn Lakenmacher,CDU
747,Diana Bader,Die Linke
748,Udo Folgart,SPD
749,Birgit Bessin,AfD
750,Marco Büchel,Die Linke
751,Dr. Hans-Jürgen Scharfenberg,Die Linke
752,Christina Schade,AfD
753,Michael Koch,CDU
754,Gabriele Theiss,SPD
755,Wolfgang Roick,SPD
756,Uwe Liebehenschel,CDU
757,Frank Bommert,CDU
758,Dr. Ulrike Liedtke,SPD
759,Franz Josef Wiese,AfD
760,Laura Lazarus,CDU
761,Jan-Ulrich Weiß,AfD
762,Barbara Richstein,CDU
763,Erik Stohn,SPD
764,Kerstin Kircheis,SPD
765,Britta Müller,SPD
766,Sören Kosanke,SPD
767,Tina Fischer,SPD
768,Steffen Königer,AfD
769,Kathrin Dannenberg,Die Linke
770,Barbara Hackenschmidt,SPD
771,Detlef Baer,SPD
772,Dr. Knut Große,CDU
773,Sven Schröder,AfD
774,Andreas Galau,AfD
775,Henryk Wichmann,CDU
776,Prof. Dr. Ulrike Liedtke,SPD
777,Dr. Rainer van Raemdonck,AfD
778,Sylvia Lehmann,SPD
779,Elisabeth Alter,SPD
780,Helmut Barthel,SPD
781,Dr. Volkmar Schöneburg,Die Linke
782,Björn Lüttmann,SPD
783,Sven Petke,CDU
784,Simona Koß,SPD
785,Uwe Schmidt,SPD
786,Inka Gossmann-Reetz,SPD
787,Margitta Mächtig,Die Linke
788,Daniel Kurth,SPD
789,Gerrit Große,Die Linke
790,Anja Heinrich,CDU
791,Dr. Alexander Gauland,AfD
792,Thomas Günther,SPD
793,Ralf Holzschuher,SPD
794,Holger Rupprecht,SPD
795,Britta Stark,SPD
796,Jutta Lieske,SPD
797,René Wilke,Die Linke
798,Klaus Ness,SPD
799,Stefan Hein,fraktionslos
800,Dr. Martina Münch,SPD
801,Ludwig Burkardt,CDU
802,Stefan Ludwig,Die Linke
803,Mike Bischoff,SPD
804,Björn Tschöpe,SPD
805,Mustafa Güngör,SPD
806,Margitta Schmidtke,SPD
807,Sybille Böschen,SPD
808,Kristina Vogt,Die Linke
809,Peter Erlanson,Die Linke
810,Sükrü Senkal,SPD
811,Dieter Reinken,SPD
812,Sarah Ryglewski,SPD
813,Winfried Brumma,SPD
814,Matthias Güldner,Bündnis 90/Die Grünen
815,Thomas Röwekamp,CDU
816,Gabriela Piontkowski,CDU
817,Claudia Bernhard,Die Linke
818,Silvia Neumeyer,CDU
819,Sandra Ahrens,CDU
820,Heiko Strohmann,CDU
821,Jörg Kastendiek,CDU
822,Rainer Hamann,SPD
823,Sigrid Grönert,CDU
824,Wilhelm Hinners,CDU
825,Klaus-Rainer Rupp,Die Linke
826,Carl Kau,CDU
827,Max Liess,SPD
828,Erwin Knäpper,CDU
829,Cindi Tuncel,Die Linke
830,Thomas vom Bruch,CDU
831,Claas Rohmeyer,CDU
832,Rainer Bensch,CDU
833,Frank Imhoff,CDU
834,Karin Garling,SPD
835,Andreas Kottisch,SPD
836,Petra Krümpfer,SPD
837,Ingelore Rosenkötter,SPD
838,Wolfgang Jägers,SPD
839,Manfred Oppermann,SPD
840,Arno Gottschalk,SPD
841,Elias Tsartilidis,SPD
842,Insa Peters-Rehwinkel,SPD
843,Frank Schildt,SPD
844,Margitta,SPD
845,Paul Bödeker,CDU
846,Valentina Tuchel,SPD
847,Helmut Weigelt,SPD
848,Jürgen Pohlmann,SPD
849,Elisabeth Motschmann,CDU
850,Elombo Bolayela,SPD
851,Susanne Grobien,CDU
852,Reiner Holsten,SPD
853,Ruken Aytas,SPD
854,Aydin Gürlevik,SPD
855,Rita Mohr-Lüllmann,CDU
856,Klaus Möhle,SPD
857,Manuela Mahnke,SPD
858,Mehmet Ali Seyrek,SPD
859,Thomas Röwekamp,CDU
860,Silvia Neumeyer,CDU
861,Björn Tschöpe,SPD
862,Stephanie Dehne,SPD
863,Dr. Maike Schaefer,Bündnis 90/Die Grünen
864,Sahhanim Görgü-Philipp,Bündnis 90/Die Grünen
865,Björn Fecker,Bündnis 90/Die Grünen
866,Kristina Vogt,Die Linke
867,Miriam Strunge,Die Linke
868,Dr. Thomas vom Bruch,CDU
869,Heiko Strohmann,CDU
870,Marco Lübke,CDU
871,Lencke Steiner,FDP
872,Rainer Hamann,SPD
873,Jürgen Pohlmann,SPD
874,Dieter Reinken,SPD
875,Andreas Kottisch,SPD
876,Sophia Leonidakis,Die Linke
877,Claudia Bernhard,Die Linke
878,Frank Imhoff,CDU
879,Sybille Böschen,SPD
880,Jens Eckhoff,CDU
881,Patrick Öztürk,SPD
882,Sükrü Senkal,SPD
883,Cindi Tuncel,Die Linke
884,Wilhelm Hinners,CDU
885,Susanne Grobien,CDU
886,Claas Rohmeyer,CDU
887,Dr. Magnus Buhlert,FDP
888,Prof. Dr. Hauke Hilz,FDP
889,Peter Erlanson,Die Linke
890,Heike Hänsel,Die Linke
891,Annette Groth,Die Linke
892,Sevim Dağdelen,Die Linke
893,Niema Movassat,Die Linke
894,Dr. Alexander S. Neu,Die Linke
895,Kerstin Kassner,Die Linke
896,Dr. André Hahn,Die Linke
897,Ulla Jelpke,Die Linke
898,Andrej Hunko,Die Linke
899,Christine Buchholz,Die Linke
900,Jan van Aken,Die Linke
901,Wolfgang Gehrcke,Die Linke
902,Dr. Tobias Lindner,Bündnis 90/Die Grünen
903,Britta Haßelmann,Bündnis 90/Die Grünen
904,Dr. Gerhard Schick,Bündnis 90/Die Grünen
905,Inge Höger,Die Linke
906,Dr. Petra Sitte,Die Linke
907,Halina Wawzyniak,Die Linke
908,Caren Lay,Die Linke
909,Birgit Menz,Die Linke
910,Sabine Leidig,Die Linke
911,Lisa Paus,Bündnis 90/Die Grünen
912,Monika Lazar,Bündnis 90/Die Grünen
913,Özcan Mutlu,Bündnis 90/Die Grünen
914,Frank Tempel,Die Linke
915,Petra Pau,Die Linke
916,Karin Binder,Die Linke
917,Herbert Behrens,Die Linke
918,Cem Özdemir,Bündnis 90/Die Grünen
919,Oliver Krischer,Bündnis 90/Die Grünen
920,Stephan Kühn,Bündnis 90/Die Grünen
921,Martina Renner,Die Linke
922,Katja Keul,Bündnis 90/Die Grünen
923,Volker Beck,Bündnis 90/Die Grünen
924,Katrin Kunert,Die Linke
925,Jan Korte,Die Linke
926,Susanna Karawanskij,Die Linke
927,Klaus Ernst,Die Linke
928,Jutta Krellmann,Die Linke
929,Eva Bulling-Schröter,Die Linke
930,Hubertus Zdebel,Die Linke
931,Renate Künast,Bündnis 90/Die Grünen
932,Konstantin von Notz,Bündnis 90/Die Grünen
933,Dr. Konstantin von Notz,Bündnis 90/Die Grünen
934,Irene Mihalic,Bündnis 90/Die Grünen
935,Kordula Schulz-Asche,Bündnis 90/Die Grünen
936,Maria Klein-Schmeink,Bündnis 90/Die Grünen
937,Agnieszka Brugger,Bündnis 90/Die Grünen
938,Omid Nouripour,Bündnis 90/Die Grünen
939,Dr. Kirsten Tackmann,Die Linke
940,Claudia Roth,Bündnis 90/Die Grünen
941,Katharina Dröge,Bündnis 90/Die Grünen
942,Uwe Kekeritz,Bündnis 90/Die Grünen
943,Luise Amtsberg,Bündnis 90/Die Grünen
944,Dr. Franziska Brantner,Bündnis 90/Die Grünen
945,Annalena Baerbock,Bündnis 90/Die Grünen
946,Marieluise Beck,Bündnis 90/Die Grünen
947,Matthias Gastel,Bündnis 90/Die Grünen
948,Harald Ebner,Bündnis 90/Die Grünen
949,Katja Kipping,Die Linke
950,Kathrin Vogler,Die Linke
951,Dr. Valerie Wilms,Bündnis 90/Die Grünen
952,Sven-Christian Kindler,Bündnis 90/Die Grünen
953,Sylvia Kotting-Uhl,Bündnis 90/Die Grünen
954,Kerstin Andreae,Bündnis 90/Die Grünen
955,Tabea Rößner,Bündnis 90/Die Grünen
956,Markus Tressel,Bündnis 90/Die Grünen
957,Dr. Julia Verlinden,Bündnis 90/Die Grünen
958,Peter Meiwald,Bündnis 90/Die Grünen
959,Corinna Rüffer,Bündnis 90/Die Grünen
960,Steffi Lemke,Bündnis 90/Die Grünen
961,Kai Gehring,Bündnis 90/Die Grünen
962,Dr. Harald Terpe,Bündnis 90/Die Grünen
963,Nicole Maisch,Bündnis 90/Die Grünen
964,Dieter Janecek,Bündnis 90/Die Grünen
965,Sabine Zimmermann,Die Linke
966,Brigitte Pothmer,Bündnis 90/Die Grünen
967,Markus Kurth,Bündnis 90/Die Grünen
968,Beate Müller-Gemmeke,Bündnis 90/Die Grünen
969,Nicole Gohlke,Die Linke
970,Katja Dörner,Bündnis 90/Die Grünen
971,Bärbel Höhn,Bündnis 90/Die Grünen
972,Dr. Thomas Gambke,Bündnis 90/Die Grünen
973,Harald Weinberg,Die Linke
974,Alexander S. Neu,Die Linke
975,Elisabeth Scharfenberg,Bündnis 90/Die Grünen
976,Birgit Wöllert,Die Linke
977,Matthias W. Birkwald,Die Linke
978,Azize Tank,Die Linke
979,Hans-Christian Ströbele,Bündnis 90/Die Grünen
980,Dr. Wolfgang Strengmann-Kuhn,Bündnis 90/Die Grünen
981,Friedrich Ostendorff,Bündnis 90/Die Grünen
982,Katrin Göring-Eckardt,Bündnis 90/Die Grünen
983,Ulle Schauws,Bündnis 90/Die Grünen
984,Kersten Steinke,Die Linke
985,Sigrid Hupach,Die Linke
986,Norbert Müller,Die Linke
987,Beate Walter-Rosenheimer,Bündnis 90/Die Grünen
988,Cornelia Möhring,Die Linke
989,weitererAbgeordneter,Die Linke
990,Dr. Frithjof Schmidt,Bündnis 90/Die Grünen
991,Jürgen Trittin,Bündnis 90/Die Grünen
992,Ralph Lenkert,Die Linke
993,Heidrun Bluhm,Die Linke
994,Christian Kühn,Bündnis 90/Die Grünen
995,Dr. Rosemarie Hein,Die Linke
996,Tom Koenigs,Bündnis 90/Die Grünen
997,Doris Wagner,Bündnis 90/Die Grünen
998,Dr. Diether Dehm,Die Linke
999,Jörn Wunderlich,Die Linke
1000,Katrin Werner,Die Linke
1001,Anja Hajduk,Bündnis 90/Die Grünen
1002,Ekin Deligöz,Bündnis 90/Die Grünen
1003,weiter Abgeordneter,Bündnis 90/Die Grünen
1004,Alexander Ulrich,Die Linke
1005,Manuel Sarrazin,Bündnis 90/Die Grünen
1006,Franziska Brantner,Bündnis 90/Die Grünen
1007,Dr. Axel Troost,Die Linke
1008,Richard Pitterle,Die Linke
1009,Thomas Lutze,Die Linke
1010,Roland Claus,Die Linke
1011,Dr. Anton Hofreiter,Bündnis 90/Die Grünen
1012,Wolfgang Strengmann-Kuhn,Bündnis 90/Die Grünen
1013,Wolfgang Gehrke,Die Linke
1014,Thomas Gambke,Bündnis 90/Die Grünen
1015,Harald Petzold,Die Linke
1016,Anette Groth,Die Linke
1017,Pia Zimmermann,Die Linke
1018,Dr. Gesine Lötzsch,Die Linke
1019,Dr. Sahra Wagenknecht,Die Linke
1020,Dr. Dietmar Bartsch,Die Linke
1021,Thomas Nord,Die Linke
1022,Michael Leutert,Die Linke
1023,Wawzyniak,Die Linke
1024,Kerstin Steinke,Die Linke
1025,Michael Schlecht,Die Linke
1026,Hebert Behrens,Die Linke
1027,Susanne Karawanskij,Die Linke
1028,Caren Ley,Die Linke
1029,Dr. Gregor Gysi,Die Linke
1030,Jan Aken,Die Linke
1031,Diana Golze,Die Linke
1032,Dr. Dieter Dehm,Die Linke
1033,Julia Verlinden,Bündnis 90/Die Grünen
1034,Priska Hinz,Bündnis 90/Die Grünen
1035,Britta Katharina Dassler,FDP
1036,Matthias Seestern-Pauly,FDP
1037,Renata Alt,FDP
1038,Katja Suding,FDP
1039,Grigorios Aggelidis,FDP
1040,Tobias Matthias Peterka,AfD
1041,Jens Maier,AfD
1042,Stephan Brandner,AfD
1043,Hagen Reinhold,FDP
1044,Oliver Luksic,FDP
1045,Steffen Kotre,AfD
1046,Dr. Heiko Heßenkemper,AfD
1047,Prof. Dr. Heiko Heßenkemper,AfD
1048,Tino Chrupalla,AfD
1049,Dr. Alexander S. Neu,Die Linke
1050,Zaklin Nastic,Die Linke
1051,Heike Hänsel,Die Linke
1052,Sevim Dağdelen,Die Linke
1053,Matthias W. Birkwald,Die Linke
1054,Doris Achelwilm,Die Linke
1055,Cornelia Möhring,Die Linke
1056,Stephan Thomae,FDP
1057,Benjamin Strasser,FDP
1058,Christian Dürr,FDP
1059,Ulla Ihnen,FDP
1060,Otto Fricke,FDP
1061,Dr. Marcel Klinge,FDP
1062,Dr. Petra Sitte,Die Linke
1063,Jan Korte,Die Linke
1064,Friedrich Straetmanns,Die Linke
1065,Michel Brandt,Die Linke
1066,Gökay Akbulut,Die Linke
1067,Andrej Hunko,Die Linke
1068,Frank Sitta,FDP
1069,Karlheinz Busen,FDP
1070,Daniel Föst,FDP
1071,Uwe Kekeritz,Bündnis 90/Die Grünen
1072,Ottmar von Holtz,Bündnis 90/Die Grünen
1073,Stephan Kühn,Bündnis 90/Die Grünen
1074,Stefan Gelbhaar,Bündnis 90/Die Grünen
1075,Dr. Wieland Schinnenburg,FDP
1076,Lorenz Gösta Beutin,Die Linke
1077,Dr. Gesine Lötzsch,Die Linke
1078,Sabine Leidig,Die Linke
1079,Christian Jung,FDP
1080,Torsten Herbst,FDP
1081,Dr. Christian Jung,FDP
1082,Johannes Vogel,FDP
1083,Dr. Dietmar Bartsch,Die Linke
1084,Matthias Höhn,Die Linke
1085,Nicole Gohlke,Die Linke
1086,Anke Domscheit-Berg,Die Linke
1087,Fabio De Masi,Die Linke
1088,Eva-Maria Schreiber,Die Linke
1089,Ulla Jelpke,Die Linke
1090,Christine Buchholz,Die Linke
1091,Susanne Ferschl,Die Linke
1092,Filiz Polat,Bündnis 90/Die Grünen
1093,Roman Müller-Böhm,FDP
1094,Judith Skudelny,FDP
1095,Olaf in der Beek,FDP
1096,Alexander Graf Lambsdorff,FDP
1097,Till Mansmann,FDP
1098,Dietmar Friedhoff,AfD
1099,Markus Frohnmaier,AfD
1100,Ulrich Oehme,AfD
1101,Dr. André Hahn,Die Linke
1102,Simone Barrientos,Die Linke
1103,Sven Lehmann,Bündnis 90/Die Grünen
1104,Markus Kurth,Bündnis 90/Die Grünen
1105,Corinna Rüffer,Bündnis 90/Die Grünen
1106,Dr. Florian Toncar,FDP
1107,Katja Hessel,FDP
1108,Bernd Reuther,FDP
1109,Daniela Kluckert,FDP
1110,Michael Theurer,FDP
1111,Markus Herbrand,FDP
1112,Jens Beeck,FDP
1113,Agnieszka Brugger,Bündnis 90/Die Grünen
1114,Ekin Deligöz,Bündnis 90/Die Grünen
1115,Dr. Anna Christmann,Bündnis 90/Die Grünen
1116,Kai Gehring,Bündnis 90/Die Grünen
1117,Thomas Hacker,FDP
1118,Peter Heidt,FDP
1119,Reinhard Houben,FDP
1120,Daniela Wagner,Bündnis 90/Die Grünen
1121,Matthias Gastel,Bündnis 90/Die Grünen
1122,Wilhelm von Gottberg,AfD
1123,Stephan Protschka,AfD
1124,Katrin Helling-Plahr,FDP
1125,Nicole Bauer,FDP
1126,Uwe Witt,AfD
1127,Jürgen Pohl,AfD
1128,Jörg Schneider,AfD
1129,René Springer,AfD
1130,Oliver Krischer,Bündnis 90/Die Grünen
1131,Monika Lazar,Bündnis 90/Die Grünen
1132,Dr. Konstantin von Notz,Bündnis 90/Die Grünen
1133,Dr. Irene Mihalic,Bündnis 90/Die Grünen
1134,Pia Zimmermann,Die Linke
1135,Harald Weinberg,Die Linke
1136,Ulle Schauws,Bündnis 90/Die Grünen
1137,Frank Schäffler,FDP
1138,Dr. Martin Neumann,FDP
1139,Stefan Liebich,Die Linke
1140,Dr. Robby Schlund,AfD
1141,Detlev Spangenberg,AfD
1142,Dr. Bettina Hoffmann,Bündnis 90/Die Grünen
1143,Jan Ralf Nolte,AfD
1144,Rüdiger Lucassen,AfD
1145,Gerold Otten,AfD
1146,Sylvia Gabelmann,Die Linke
1147,Martin Sichert,AfD
1148,Stefan Schmidt,Bündnis 90/Die Grünen
1149,Hartmut Ebbing,FDP
1150,Dr. Jens Brandenburg,FDP
1151,Mario Brandenburg,FDP
1152,Dr. Bernd Baumann,AfD
1153,Stefan Keuter,AfD
1154,Martin Hess,AfD
1155,Dr. Danyal Bayaz,Bündnis 90/Die Grünen
1156,Dr. Franziska Brantner,Bündnis 90/Die Grünen
1157,Anja Hajduk,Bündnis 90/Die Grünen
1158,Jessica Tatti,Die Linke
1159,Margit Stumpp,Bündnis 90/Die Grünen
1160,Helin Evrim Sommer,Die Linke
1161,Dr. Gero Clemens Hocker,FDP
1162,Leif-Erik Holm,AfD
1163,Dr. Roland Hartwig,AfD
1164,Armin-Paulus Hampel,AfD
1165,Dr. Anton Friesen,AfD
1166,Alexander Kulitz,FDP
1167,Carina Konrad,FDP
1168,Niema Movassat,Die Linke
1169,Ulrich Lechte,FDP
1170,Bettina Stark-Watzinger,FDP
1171,Dr. Andrew Ullmann,FDP
1172,Prof. Dr. Andrew Ullmann,FDP
1173,Peter Felser,AfD
1174,Ulrike Schielke-Ziesing,AfD
1175,Gerald Ullrich,FDP
1176,Franziska Gminder,AfD
1177,Steffi Lemke,Bündnis 90/Die Grünen
1178,Friedrich Ostendorff,Bündnis 90/Die Grünen
1179,Dr. Kirsten Tackmann,Die Linke
1180,Dr. Marco Buschmann,FDP
1181,Michael Espendiller,AfD
1182,Joana Cotar,AfD
1183,Uwe Schulz,AfD
1184,Christoph Meyer,FDP
1185,Dr. h. c. Thomas Sattelberger,FDP
1186,Martin Erwin Renner,AfD
1187,Martin Hebner,AfD
1188,Dr. Marc Jongen,AfD
1189,Lisa Paus,Bündnis 90/Die Grünen
1190,Dr. Bruno Hollnagel,AfD
1191,Dr. Michael Espendiller,AfD
1192,Pascal Kober,FDP
1193,Prof. Dr. Martin Neumann,FDP
1194,Sandra Weeser,FDP
1195,Dieter Janecek,Bündnis 90/Die Grünen
1196,Renate Künast,Bündnis 90/Die Grünen
1197,Tabea Rößner,Bündnis 90/Die Grünen
1198,Pascal Meiser,Die Linke
1199,Dr. Ingrid Nestle,Bündnis 90/Die Grünen
1200,Dr. Julia Verlinden,Bündnis 90/Die Grünen
1201,Martina Renner,Die Linke
1202,Dr. Gottfried Curio,AfD
1203,Dr. Birke Bull-Bischoff,Die Linke
1204,Dr. Kirsten Kappert-Gonther,Bündnis 90/Die Grünen
1205,Dr. Lothar Maier,AfD
1206,Roman Johannes Reusch,AfD
1207,Sebastian Münzenmaier,AfD
1208,Canan Bayram,Bündnis 90/Die Grünen
1209,Luise Amtsberg,Bündnis 90/Die Grünen
1210,Katja Keul,Bündnis 90/Die Grünen
1211,Christine Aschenberg-Dugnus,FDP
1212,Norbert Kleinwächter,AfD
1213,Klaus Ernst,Die Linke
1214,Jörg Cezanne,Die Linke
1215,Markus Tressel,Bündnis 90/Die Grünen
1216,Katharina Willkomm,FDP
1217,Karsten Klein,FDP
1218,Christoph Neumann,AfD
1219,Frank Magnitz,AfD
1220,Marc Bernhard,AfD
1221,Udo Theodor Hemmelgarn,AfD
1222,Verena Hartmann,AfD
1223,Dr. Diether Dehm,Die Linke
1224,Martin Reichardt,AfD
1225,Frank Pasemann,AfD
1226,Nicole Höchst,AfD
1227,Beate Müller-Gemmeke,Bündnis 90/Die Grünen
1228,Jimmy Schulz,FDP
1229,Dr. Achim Kessler,Die Linke
1230,Konstantin Kuhle,FDP
1231,Hubertus Zdebel,Die Linke
1232,Sven-Christian Kindler,Bündnis 90/Die Grünen
1233,Jutta Krellmann,Die Linke
1234,Petra Pau,Die Linke
1235,Kathrin Vogler,Die Linke
1236,Manuel Höferlin,FDP
1237,Gyde Jensen,FDP
1238,Lisa Badum,Bündnis 90/Die Grünen
1239,Dr. Marie-Agnes Strack-Zimmermann,FDP
1240,Dr. Götz Frömming,AfD
1241,Manfred Todtenhausen,FDP
1242,Katharina Dröge,Bündnis 90/Die Grünen
1243,Claudia Müller,Bündnis 90/Die Grünen
1244,Paul Viktor Podolay,AfD
1245,Matthias Büttner,AfD
1246,Dr. Dirk Spaniel,AfD
1247,Thomas Seitz,AfD
1248,Britta Haßelmann,Bündnis 90/Die Grünen
1249,Christian Kühn,Bündnis 90/Die Grünen
1250,Omid Nouripour,Bündnis 90/Die Grünen
1251,Margarete Bause,Bündnis 90/Die Grünen
1252,Claudia Roth,Bündnis 90/Die Grünen
1253,Cem Özdemir,Bündnis 90/Die Grünen
1254,Tobias Pflüger,Die Linke
1255,Dr. Lukas Köhler,FDP
1256,Petr Bystron,AfD
1257,Albrecht Glaser,AfD
1258,Karsten Hilse,AfD
1259,Kay Gottschalk,AfD
1260,Dr. Christian Wirth,AfD
1261,Beate Walter-Rosenheimer,Bündnis 90/Die Grünen
1262,Gero Hocker,FDP
1263,Sylvia Kotting-Uhl,Bündnis 90/Die Grünen
1264,Enrico Komning,AfD
1265,Frank Müller-Rosentritt,FDP
1266,Peter Boehringer,AfD
1267,Jürgen Trittin,Bündnis 90/Die Grünen
1268,Kordula Schulz-Asche,Bündnis 90/Die Grünen
1269,Dr. Manuela Rottmann,Bündnis 90/Die Grünen
1270,Mariana Iris Harder-Kühnel,AfD
1271,Norbert Müller,Die Linke
1272,Brigitte Freihold,Die Linke
1273,Dr. Stefan Ruppert,FDP
1274,Beatrix von Storch,AfD
1275,Andreas Mrosek,AfD
1276,Thomas Sattelberger,FDP
1277,Erhard Grundl,Bündnis 90/Die Grünen
1278,Jochen Haug,AfD
1279,Annalena Baerbock,Bündnis 90/Die Grünen
1280,Harald Ebner,Bündnis 90/Die Grünen
1281,Wolfgang Wiehle,AfD
1282,Thomas Ehrhorn,AfD
1283,Dr. Axel Gehrke,AfD
1284,Prof. Dr. Axel Gehrke,AfD
1285,Jörn König,AfD
1286,Michael Georg Link,FDP
1287,Annalena Baerbock Lisa Paus,Bündnis 90/Die Grünen
1288,Ingrid Remmers,Die Linke
1289,Volker Münz,AfD
1290,Andreas Wagner,Die Linke
1291,Katja Dörner,Bündnis 90/Die Grünen
1292,Dr. Alexander Neu,Die Linke
1293,Fabian Jacobi,AfD
1294,Ralph Lenkert,Die Linke
1295,Birke Bull-Bischoff,Die Linke
1296,Alexander Ulrich,Die Linke
1297,Maria Klein-Schmeink,Bündnis 90/Die Grünen
1298,Thomas L. Kemmerich,FDP
1299,Corinna Miazga,AfD
1300,Nicole Westig,FDP
1301,Lars Herrmann,AfD
1302,Dr. Dieter Dehm,Die Linke
1303,Amira Mohamed Ali,Die Linke
1304,Jens Beck,FDP
1305,Kerstin Andreae,Bündnis 90/Die Grünen
1306,Caren Lay,Die Linke
1307,Christian Sauter,FDP
1308,Dr. Wolfgang Strengmann-Kuhn,Bündnis 90/Die Grünen
1309,Konstantin von Notz,Bündnis 90/Die Grünen
1310,Waldemar Herdt,AfD
1311,Jürgen Braun,AfD
1312,Dr. Heiko Wildberg,AfD
1313,Franziska Brantner,Bündnis 90/Die Grünen
1314,Dr. Rainer Kraft,AfD
1315,Sören Pellmann,Die Linke
1316,Manuel Sarrazin,Bündnis 90/Die Grünen
1317,Victor Perli,Die Linke
1318,Katjia Suding,FDP
1319,Dr. Christoph Hoffmann,FDP
1320,Ulla Jepke,Die Linke
1321,Dr. Bettina Hoffman,Bündnis 90/Die Grünen
1322,Dr. Jürgen Martens,FDP
1323,Andreas Bleck,AfD
1324,Jörg Cezanne Klaus Ernst,Die Linke
1325,Katja Kipping,Die Linke
1326,und,Die Linke
1327,Dr. Harald Weyel,AfD
1328,Prof. Dr. Harald Weyel,AfD
1329,Dr. Marcus Faber,FDP
1330,Dr. Gregor Gysi,Die Linke
1331,Katrin Werner,Die Linke
1332,Martin Renner,AfD
1333,Danyal Bayaz,Bündnis 90/Die Grünen
1334,Sabine Zimmermann,Die Linke
1335,Christian Wirth,AfD
1336,Carl-Julius Cronenberg,FDP
1337,Dr. Frithjof Schmidt,Bündnis 90/Die Grünen
1338,Berengar Elsner von Gronow,AfD
1339,Dietmar Friedhof,AfD
1340,Kerstin Kassner,Die Linke
1341,Nicola Beer,FDP
1342,Heidrun Bluhm-Förster,Die Linke
1343,Marcus Bühl,AfD
1344,Hansjörg Müller,AfD
1345,Anton Friesen,AfD
1346,Stefan Thomae,FDP
1347,weiter Abgeordneter,AfD
1348,Alexander Müller,FDP
1349,weitere Abgeordnete,FDP
1350,Heidrun Bluhm,Die Linke
1351,Lorenz Gösta,Die Linke
1352,Ingrid Nestle,Bündnis 90/Die Grünen
1353,weiterer Abegordneter,Die Linke
1354,weiterer Abgeorndeter,Bündnis 90/Die Grünen
1355,Dr. Tobias Lindner,Bündnis 90/Die Grünen
1356,Linda Teuteberg,FDP
1357,Grigorios,FDP
1358,Petra Sitte,Die Linke
1359,Siegbert Droese,AfD
1360,anderer Abgeordneter,Bündnis 90/Die Grünen
1361,Thomas Nord,Die Linke
1362,Dr. Konstatin von Notz,Bündnis 90/Die Grünen
1363,Dr. Marcel Kling,FDP
1364,Marcel Klinge,FDP
1365,Thomas Lutze,Die Linke
1366,Jens Kestner,AfD
1367,Jürgen Martens,FDP
1368,Gerhard Zickenheiner,Bündnis 90/Die Grünen
1369,Thomas Kemmerich,FDP
1370,weiterer,Bündnis 90/Die Grünen
1371,Kordula Schulze-Asche,Bündnis 90/Die Grünen
1372,Prof. Dr. Lothar Maier,AfD
1373,Rainer Kraft,AfD
1374,Stefan Ruppert,FDP
1375,Marie-Agnes Strack-Zimmermann,FDP
1376,Dr. Gerhard Schick,Bündnis 90/Die Grünen
1377,weiterer abgeordneter,AfD
1378,Uwe Kamann,AfD
1379,Katrin Göring-Eckardt,Bündnis 90/Die Grünen
1380,Kersten Steinke,Die Linke
1381,Johannes Huber,AfD
1382,Bijan Djir-Sarai,FDP
1383,Gesine Lötzsch,Die Linke
1384,Michael Theuer,FDP
1385,Gero Clemens Hocker,FDP
1386,Dr. Markus Faber,FDP
1387,Martin Hohmann,AfD
1388,weiterer Abgeordnter,FDP
1389,weiterer Ageordneter,Bündnis 90/Die Grünen
1390,Renata Alt und,FDP
1391,Dr. Hermann Otto Solms,FDP
1392,Eva-Maria Elisabeth Schreiber,Die Linke
1393,Christian Lindner,FDP
1394,Dr. Gero Hocker,FDP
1395,Fank Sitta,FDP
1396,Dr. Valerie Wilms,Bündnis 90/Die Grünen
1397,Winfried Hermann,Bündnis 90/Die Grünen
1398,Dr. Anton Hofreiter,Bündnis 90/Die Grünen
1399,Ulla Jelpke Dr. André Hahn,Die Linke
1400,Katharina Kloke,FDP
1401,Irene Mihalic,Bündnis 90/Die Grünen
1402,Dr,FDP
1403,Dr. Birgit Malsack-Winkemann,AfD
1404,Achim Kessler,Die Linke
1405,Michael Leutert,Die Linke
1406,Dr. Christan Wirth,AfD
1407,Bettina Herlitzius,Bündnis 90/Die Grünen
1408,Sebastian Münzenmeier,AfD
1409,Dr. Sahra Wagenknecht,Die Linke
1410,Dr. Thomas Gambke,Bündnis 90/Die Grünen
1411,Albrecht Heinz Erhard Glaser,AfD
1412,Joana Eleonora Cotar,AfD
1413,Konstantin Elias Kuhle,FDP
1414,Marco Buschmann,FDP
1415,Annette Groth,Die Linke
1416,Jan van Aken,Die Linke
1417,Heinz Lotz,SPD
1418,Angelika Löber,SPD
1419,Karin Hartmann,SPD
1420,Michael Siebel,SPD
1421,Jürgen Lenders,FDP
